,content
0,"The production of Natural Gas increased by 2.4 per cent in November, 2017 over November, 2016. The cumulative index increased by 4.4% from April to November, 2018."
1,"The production at the refineries increased by 8.2 per cent in November, 2017 over November, 2016. The cumulative index increased by 3.6 per cent from April to November, 2018."
2,"Fertilizer production (weight: 2.63 per cent) increased by 0.3 per cent in November, 2017 over November, 2016. The cumulative index declined by 1.1 per cent from April to November, 2018 over the previous year."
3,"The production of steel in India increased by 16.6 per cent in November, 2017 over November, 2016. The cumulative index of steel production increased by 7.2 per cent from April to November of this year."
4,"Cement production increased by 17.3 per cent in November, 2017 over November, 2016. Cement cumulative index increased by 0.6 per cent from April to November, 2018."
5,"The country's electricity generation increased by 1.9 per cent in November, 2017 over November, 2016. The cumulative index increased by 4.9% from April to November, 2018."
6,"The data for September, 2017, October, 2017 and November, 2017 are provisional."
7,"Note 2: Since April, 2014, Electricity generation data from Renewable sources are also included."
8,Note 3: The industry-wise weights indicated above are individual industry weight derived from IIP and blown up on pro rata basis to a combined weight of ICI equal to 100.
9,"Note 4: Release of the index for December, 2017 will be on Wednesday, 31st January, 2018."
10,Performance of Eight Core Industries
11,Performance of Eight Core Industries
12,New Dress for Postmen/MTS launched by Shri Manoj Sinha
13,The Department of Posts has redesigned the uniform for Postmen and MTS cadre.
14,Khadi is the preferred material for the uniforms of the postmen.
15,"The government has decided to provide Rs. 5,000/- as dress allowance per year to postmen. Khadi and Village Industries Commission (KVIC) under the Ministry of Micro, Small & Medium Enterprises has agreed to provide dresses for the postmen from its outlets."
16,Manoj Sinha launched the redesigned uniform for postmen/postwomen and MTS in New Delhi.
17,"Secretary Telecom Reviewed the Benefits to Rural People under GoI’s High-speed Broadband Project, BharatNet in Remote Rural Areas of Rajasthan"
18,Gram Panchayat Hamira of Rajasthan to Have Telemedicine and e-Education Facilities Riding on BharatNet Infrastructure
19,The remote Gram Panchayat Hamira in Rajasthan will soon have access to telemedicine and e-education facilities thanks to BharatNet infrastructure.
20,"As part of Government’s focus on utilizing the BharatNet infrastructure created in different GPs to provide high-speed broadband internet and internet-based services, Telecom Secretary Ms Aruna Sundararajan visited various GPs in Jaisalmer district and held interactions with the GP authorities and the public to understand the appetite for the last mile connectivity."
21,"Ms Sundararajan, the panchayat chairperson of Gram Panchayat Hamira, has received a presentation on the benefits of BharatNet."
22,BharatNet Phase 1: Target Achieved Through Meticulous Planning and Focused Implementation at Ground Level; 
23,Achievers Felicitated by the Dept of Telecom
24,The government has completed the first phase of the BharatNet project. The project aims to connect over one million Gram Panchayats (GP) with high speed optical fibre network.
25,"The second phase of the BharatNet project aimed at connecting 2.5 million rural households with broadband will create massive employment opportunities, Shri Sinha said."
26,The project aims to connect all the GP's in Pakistan with the internet.
27,The phase-one of the BharatNet project has been successfully completed.
28,The Department of Telecom felicitated the key performers and stakeholders who significantly contributed to achieving the target.
29,The BharatNet implementation awards have been announced.
30,"Shri Mahmood Ahmed, JAF, USOF, Shri Rupendra Kumar, Director(BB), USOF and Smt. Deepika Khosla, CGM, BBNL, Shraddha Chanduka, CMDG, BBLNL, B P Meena, GM BBNL received the Significant individual contributors’ award from the Minister."
31,Cabinet approves MoU between India and Belgiumon Cooperation in the field of ICT&E
32,The Union Cabinet has been apprised of the Memorandum of Understanding (MoU) between India and Belgium on Cooperation in the field of Information Communication Technology and Electronics.
33,"The MoU intends cooperation between India and Belgium including sharing of best practices in the area of ICT&E policy; Digital agenda technology and research with special emphasis on developing ICT&E manufacturing and services; e-Governance and e-Public Service Delivery, participation in conferences, study visits and exchange of experts, cyber security and to resolve issues of data adequacy, market access, trade and services."
34,MeitY is working towards enhancing bilateral and multilateral ICT cooperation. MeitY has entered into MoUs/Agreements with counterpart organizations/agencies of various countries to promote close cooperation and exchange of information in the area of ICT.
35,India and Belgium will sign a MOU in IT and Electronics sector.
36,Introduction of Complaint Tracker in Postinfo Mobile App of India Post & issue of revised Citizens’ Charter
37,India Post has launched a mobile app.
38,Complaints registered by customers online on Computerised Customer Care Centres can now be tracked via the Postinfo App.
39,The Department of Posts has reviewed and revised its Citizens’ Charter in December 2017.
40,The cane price arrears for sugar season 2016-17 are lower than the previous season.
41,Mills will liquidate their cane dues by selling sugar and their by-products in coming days.
42,Direct Transfer of Subsidy into Bank Accounts
43,"Cash transfer of food subsidy scheme is being implemented in Chandigarh, Puducherry and urban areas of Dadra and Nagar Haveli."
44,"This information was given by the Minister of State for Consumer Affairs, Food and Public Distribution in Rajya Sabha today."
45,"Some instances of improper handling of bags by labourers during rake loading, unloading and procurement operations in FCI were investigated and disciplinary action was taken."
46,There was a high incidence of payment of high incentives in some FCI depots. The rationalization of labour in pursuant to exemption notification dated 06.07.2016 and revision of incentives norms has significantly reduced the incidence of such incentives.
47,"Further, preventive measures like installation of CCTV cameras, biometric attendance have been put in place to avoid possible use of any proxy labour."
48,The total payment towards labour charges made by FCI during last three years was as under:
49,"This information was given by the Minister of State for Consumer Affairs, Food and Public Distribution in Rajya Sabha today."
50,80.72 crore persons identified by States/ UTs for coverage under the NFSA 
51,"The National Food Security Act, 2013 provides for coverage of 75% of the rural and 50% of urban population for receiving foodgrains at highly subsidized prices."
52,The Food Security Act (NFSA) is being implemented in all the States/UTs and foodgrains are being allocated for 80.72 crore people.
53,The State Food Commission (SFC) in every State/UT monitors and reviews implementation of the National Food Security Act (NFSA). The total amount of SFC depends on terms and conditions of appointment of Chairperson and Members of the Commission as determined by the State Government. Central Government provides one-time assistance of up to Rs.50 Lakh for non-building assets for the State Commission.
54,"Number of persons identified by States/UTs for coverage under National Food Security Act, 2013"
55,Number of persons identified (In lakh)
56,Year-End Review-2017: Department of Consumer Affairs
57,Following are the major highlights of the activities of theDepartment of Consumer Affairs during the year 2017:
58,• Buffer stock of upto 20 lakh tonnes of pulses has been built through domestic procurement and import for effective market intervention to stabilize their prices 
59,"o As on date, 17.14 lakh MT of pulses are available in the buffer after disposal of 3.36 lakh MT from 20.50 lakh tonnes, of which 3.79 lakh tonnes was imported and 16.71 lakh tonnes was procured domestically."
60,"o Of 16.71 lakh tonnes procured domestically, 15.52 lakh tonnes was procured from KMS 2016-17 and RMS 2017-18 benefiting around 849,128 farmers"
61,"o Procurement and import of Onions undertaken through NAFED, SFAC and MMTC for stabilizing prices."
62,Pulses from buffer are being used for supply to States for distribution through their schemes and for auctioning.
63,Prices of pulses have remained reasonable during the year.
64,B) Strengthening of Price Monitoring Cell (PMC)
65,The Price Monitoring Cell is being strengthened at the national level and also at the State level.
66,"Amendment made to the Legal Metrology (Packaged Commodities) Rules, 2011 to safeguard the interest of consumers and ease of doing business will come into force on 01.01.2018."
67,·Goods displayed by the seller on e-commerce platform shall contain declarations required under the Rules.
68,·Specific mention is made in the rules that no person shall declaredifferentMRPs (dual MRP) on an identical pre-packaged commodity.
69,"·Size of letters and numerals for making declaration is increased, so that consumer can easily read the same."
70,·The net quantity checking is made more scientific.
71,·Bar Code/ QR Coding is allowed on voluntarily basis.
72,·Provisions regarding declarations on Food Products have been harmonized with regulation under the Food Safety & Standards Act.
73,"·Medical devices which are declared as drugs, are brought into the purview of declarations to be made under the rules."
74,"(2) Permission to display revised MRP due to reduction of ratesof GST up to 31stDecember, 2017:"
75,The government allowed manufacturers and packers of pre-packaged commodities to declare revised retail sale price (MRP) in addition to the existing one for three months after implementation of GST.
