,content
0,"Allocation for children with special needs (CwSNS) of Rs. 3,500 per child per annum. A stipend of 200 per month for CWSN girls to be provided from classes I to XII."
1,Allocation for uniforms per child per annum.
2,Allocation for textbooks at the rate of Rs. 250/400 per child per annum.
3,Upgradation of Kasturba Gandhi Balika Vidyalayas (KGBVs) from Class 6-8 to
4,Strengthening Teacher Education Institutions like SCERTs and DIETs to improve the quality of teachers.
5,"Enhanced use of digital technology in education through smart classrooms, digital boards and DTH channels."
6,"Support States & UTs for implementation of provisions of RTE Act, including reimbursement under Section 12(1)(c) of the Act."
7,Setting up of residential schools and hostels for children in difficult circumstances.
8,The government has approved Samagra Shiksha for setting up of Youth and Eco Club in Government Schools.
9,"In order to promote cultural diversity of India and to encourage experimental learning, Rangotsav was organized in schools in 2018-19."
10,"The information was given by the Union Minister for Human Resource Development, Shri Ramesh Pokhriyal ‘Nishank’ in a written reply in the Lok Sabha today."
11,University of Delhi holds panel discussion as part of International Women's Day in New Delhi
12,"On the occasion of International Women’s Day 2020, Law Centre II, Faculty of Law, University of Delhi organized a panel discussion on “Women Empowerment: New Dimensions”."
13,"Professor Geeta Bhatt, Professor Pami Dua highlight the role of women in diverse fields across the ages."
14,"Professor Kamala Sankaran, Professor Kavita Sharma, and Professor Kamala Kallan are talking about the role of judiciary and women empowerment in the legal field."
15,Union HRD Minister felicitates Vice Chancellors of Women Universities and women Principals of Delhi Colleges as part of International Women's Day celebrations
16,We have special provisions for girls’ education in upcoming New Education Policy – Shri Ramesh Pokhriyal‘Nishank’HRD Minister launches SAKSHAM portal aiming at empowerment of women in campuses
17,The Union Minister for Human Resources Development has felicitated the Vice Chancellors of Women Universities and Women Principals of Delhi Colleges in New Delhi.
18,"Union Minister Arun Jaitley launched the SAKSHAM portal, developed by UGC, aimed at empowering women in campuses."
19,"Shri Pokhriyal, the Union Minister of Education, has launched a conference on women's education."
20,The SAKSHAM portal is a platform for registering complaints related to violence and harassment against women.
21,Minister of School Education of Tamil Nadu Sh K. Sengottaiyn calls on Union HRD Minister Shri Ramesh Pokhriyal ‘Nishank’ today in New Delhi.
22,Shri Ramesh Pokhriyal 'Nishank' appreciatesthe efforts made by Tamil Nadu government in implementing the various education policies in the state
23,The Minister of School Education of Tamil Nadu Sh K. A. Sengottaiyn called on the Union Minister for Human Resource Development Shri Ramesh Pokhriyal 'Nishank' at his residence. They had a detailed discussion on greater dissemination of technology related education in the State of Tamil Tamil Nadu.
24,Education Department of Tamil Nadu is making better use of information technology in providing high quality education to students.
