,content
0,This institute will be one of the first of its kind in Africa for rehabilitation of people with mental illness.
1,The Government is promoting sports among disabled people. It is in the process of developing dedicated sports centres for them.
2,Promoting sports among people with disabilities is a welcome step.
3,I am glad that the Indian Sign Language Research and Training Centre has already created a sign language dictionary of more than 3000 words and is working towards developing a standardized Indian Sign Language.
4,I am told that the Government is also in the process of implementing a Unique ID project to create a national database of all persons with disabilities in the country to ensure that the Government benefits reach every deserving person.
5,"It is heartening that the Government has also launched a National Action Plan for Skill Development to impart skill training to 25 lakh persons with disabilities by 2022, to enhance their employability."
6,The corporate sector should create adequate employment opportunities for persons with disabilities.
7,India’s development story will be totally incomplete without ‘inclusion’ and harnessing the hidden potential of all people including the differently abled.
8,"We need to recognize the competence of every individual, enhance the knowledge and skill levels, empower each disabled person to reach the heights each one aspires for."
9,Our policies and programs must be oriented towards this approach.
10,Our governance system needs to be fine tuned to respond to the special needs of the differently abled.
11,The education system needs to be re-invented to create inclusive educational opportunities.
12,Our societal norms should be changed through intensive awareness campaigns to remove the stigma attached to disability.
13,We need to recognize the valuable human assets we have in persons with disabilities.
14,We have a duty towards fellow human beings to make them lead good quality lives with dignity.
15,"Let us all work together, the government and the private sector, the civil society and the academia, to build a society that gives each one of our disabled sisters and brothers a life of dignity and equal opportunities."
16,I congratulate all the National Award winners.
17,Medical fraternity should launch nationwide awareness campaign on health hazards posed by modern lifestyle: Vice President
18,Private sector should make medical treatment accessible and affordable;Public Private Partnership could be the model for providing better rural healthcare;Inaugurates GEM Hospital
19,"The Vice President of India, Shri M. Venkaiah Naidu, has called upon the medical fraternity to launch a national awareness campaign on health hazards posed by modern lifestyle."
20,"Addressing the gathering after inaugurating GEM Hospital, in Chennai today, he urged doctors to visit universities and colleges to create greater awareness among students on the need for regular physical activity, eating healthy food and avoiding consumption of alcohol and tobacco."
21,"Quoting the Global Burden of Disease (GBD) 2016 report that showed that Non-Communicable Diseases (NCDs) and injuries were the main cause of death among people of all age groups in India, Shri Naidu said that it was incumbent upon the medical fraternity to launch a nationwide campaign to create greater awareness on the health hazards of modern-day lifestyles."
22,The Vice President has expressed concern over the rising cost of healthcare services.
23,"Shri Naidu said that despite the efforts of governments in states and centre, healthcare faces formidable challenges in terms of low public spend, low doctor-patient ratio, low patient-bed ratio, rising out-of-pocket expenditure, dearth of medical colleges and trained doctors, inadequate infrastructure in rural areas."
24,The Vice President has called on the private sector to invest more in improving health infrastructure in rural areas.
25,"The Vice President said that every citizen has the right to the highest attainable standards of physical and mental health and called for coordinated efforts of all the stake holders including doctors, researchers, government and private organizations to act in unison give the citizens access to efficient and affordable healthcare."
26,The Vice President said that Public Private Partnership could be the model to bridge the gap by providing technically advanced primary and secondary healthcare centres that act as the first response units to combat diseases or general ill health.
27,The Vice President has called on doctors to spend more time with their patients.
28,"The Aayushman Bharat programme launched by the government of India will help improve the health outcomes of poor families and improve access to healthcare, Vice President of India has said."
29,"The Chief Minister of Tamil Nadu, Edappadi K. Palanisamy, the Deputy Chief Minister, O. Panneerselvam, the Minister for Fisheries and Personnel and Administrative Reforms, Tamil Nadu D. Jayakumar, the minister for Transport, Dr. C. Vijayabhaskar, the Founder of GEM Hospitals, Palanivelu and other dignitaries were present."
30,Following is the text of Vice President’s address:
31,There is a huge disparity in health outcomes between urban and rural areas in India.
32,"No doubt, healthcare has been accorded utmost priority by successive governments since Independence. However, there are many challenges facing the healthcare system in India. "
33,"The private sector should expand its healthcare facilities to the rural areas, where most of India's population lives."
34,Rural-urban disparity in healthcare is adding to the financial burden of the people. Public Private Partnership could be the model to bridge the gap by providing technically advanced primary and secondary healthcare centres that act as the first response units to combat diseases or general ill health.
35,In India a doctor is revered and treated like a God.
36,The doctor should spend more time with his or her patients.
37,The need is to make modern methods of treatment more affordable for the common man.
38,"The government launched ""Ayushman Bharat"" to provide financial protection to 10.74 crore deprived rural families by offering a benefit cover of Rs. 5 Lakh per family per year for medical and hospitalization expenses."
39,The Aayushman Bharat aimed at improving the health of poor families in the country and providing holistic healthcare is being launched.
40,"There are six doctors per 10,000 people in India, compared to 20 per 1000 people in developed countries."
41,"There is only one doctor per 1,000 people in India. A high-level committee of erstwhile Planning Commission recommended the setting up of 187 more medical colleges by 2022."
42,"Dear Friends, the Constitution of India under Article 21 guarantees protection to life and personal liberty of every citizen including provisions guaranteeing everyone’s right to the highest attainable standard of physical and mental health."
43,"As you all are aware, several State governments and Centre governments have launched schemes to support the healthcare needs of their citizens. The Government of India has set the target of increasing health expenditure to 2.5% of GDP by 2025."
44,Corporations should contribute towards promoting medical research as part of their CSR activities.
45,"Dear sisters and brothers, the Global Burden of Disease (GBD) 2016 data shows that Non-Communicable Diseases (NCDs) and injuries are the main cause of death among people of all age groups in India."
46,The medical fraternity should launch a nationwide campaign to create greater awareness on the health hazards of modern-day lifestyles.
47,"All stakeholders - the government, private sector, the NGOs, public health planners and experts must come together in building a healthy, vibrant and resurgent India."
48,Art and dance forms act as bridge between the value systems of ancient India and the new generation: Vice President
49,"Classical music and arts represent India’s cultural glory;Government, artists and musicians to nurture and propagate Indian classical Music and Art formsAddresses the Golden Jubilee Celebrations of Brahma Gana Sabha"
50,"The Vice President of India, M. Venkaiah Naidu, has said that art and dance forms act as bridge between the value systems of ancient India and the new generation. He was inaugurating the Golden Jubilee Celebrations of Brahma Gana Sabha in Chennai today."
51,"The Vice President presented Gaana Padhmam Award to legendary classical musician, Dr. K.J. Yesudoss, Naatya Padmah Award to Smt. Malavika Sarukkai and Naataka Padmaha Award to Shri Varadharajan."
52,"The Vice President said that Classical music and arts represent India’s cultural glory and they represent the eternal and everlasting principles of life that promote discipline, obedience and peaceful coexistence, he added."
53,Shri Naidu believes that music acts as an equalizer and speaks universal language.
54,"The Vice President of India, M Venkaiah Naidu, has called on government, artists and musicians to promote Indian classical music and art forms to attract the younger generation."
55,The Vice President believes that children who practice music have better cognitive skills and do well in academics.
56,Shri Naidu believes that music learning should be made part of the curriculum for school children.
57,Following is the text of Vice President's address:
58,"""I am delighted to be present in this august gathering of extraordinary musicians and music lovers of Indian Classical Music and inaugurate the Golden Jubilee Celebrations of Brahma Gana Sabha."
59,Brahma Gana Sabha organises annual music festivals in Chennai. It is one of the leading cultural institutions in the city. It has been recognised by UNESCO as a Creative City.
60,I express my appreciation to Sabha for promoting ancient Indian music and culture.
61,I am grateful to the four artists felicitated during this golden jubilee year of the Sabha.
62,India has a rich tradition of music from ancient period to the present time. Indian classical music and arts represent India’s cultural glory.
63,"In India, art is an integral part of cultural life."
64,"Shri Thyagaraja Swami is an exponent of Carnatic music. Through his compositions, Tyaga Brahma, he revealed his deep understanding of the Vedas and Upanishads."
65,"Listening to music is good for the mind, body and soul."
66,"Dance in India has an unbroken tradition of over 2,000 years."
67,Classical dance forms are based on ancient dance discipline and have rigid rules of presentation.
68,Theatre in India is as old as music and dance. The classical theatre survives only in some places and folk theatre can be seen in regional variants practically in every state.
69,All such forms of Indian art and music form part of our rich culture and play a key role in unifying the country and its’ people.
70,This rich tradition of Indian music and art must be understood in the context of Indian life and thought that promotes the concepts of harmony and integration.
71,"In music, dance and other arts there is a mystical experience. Music heals, it soothes and calms, it enthralls and it unites people."
72,"Over the centuries, India has embraced the best from the rest of world and thus, our culture is a composite mixture of varying styles and influences."
73,I am happy to learn December Art festival is going to host around 200 artists from various music forms from Hindusthani to Harikatha to Namasankirthana besides Classical carnatic.
74,"Happiness quotient is dropping. In the present day, fast-paced lifestyle, listening to music can provide solace to mind."
75,The vast treasure of Indian musical forms needs to be nurtured and propagated. Brahma Gana Sabha should encourage more and more younger artistes to express their talent.
76,Children who engage in music and other art forms tend to have better cognitive skills and do well in academic subjects.
77,"The human attention span has shortened from 12 seconds to 8 seconds in more than a decade, a study by Microsoft Corporation suggests."
78,Music learning should be made part of school curriculum.
79,NRIs come to the December Art Festival to see the cultural activities of Indian Diaspora.
80,Indian music was enriched by contributions of many great musical exponents.
81,"In many ways, Indian musicians have given the world a rare menu of musical masterpieces. However, I am aware of the innovations being tried out within this tradition."
82,We must preserve the best traditions we have inherited and add further richness with our creative genius.
83,"Brahma, the first God in the Hindu Trinity, represents creativity and innovation. Musicians who have achieved excellence combine these qualities with their knowledge of musicology."
84,"The Narada Brahma and many other Nada Brahmas have enriched the world of music and left an impression on our inner consciousness. Thanks to technology, we can listen to their compositions anytime, anywhere and any number of times. The concerts we hold regularly help preserve and propagate the richness of Indian music."
85,I once again congratulate the organizers for holding this festival and contributing to this noble mission.
86,Teachings of Lord Mahaveer would provide solutions to the most pressing problems of the present era: Vice President
87,Philosophy of Jainism holds many crucial lessons for contemporary world;Terrorism is a threat to mankind; Peace is a prerequisite for progress;Presents 21st Mahaveer Awards
88,"The Vice President of India, Shri M. Venkaiah Naidu, has said that Indian Philosophy, principles and teachings of great gurus like Lord Mahaveer will provide solutions to the most pressing problems of the present era."
89,Shri Naidu said that we live in turbulent times.
90,The Vice President said that one has to either change the way one lives or prepare to face the inevitable consequences of our actions adding that our ancient great philosophy has solutions to the most complex issues of the modern era.
91,The Vice President said that terrorism is a threat to mankind and peace is a prerequisite for progress.
92,The Vice President has called for an introspection of Indian values.
93,"India must reclaim its rightful position in the world and protect its environment, Vice President M Venkaiah Naidu said."
94,The Vice President congratulated the winners of the award for their outstanding contribution to society.
95,"Saying that the philosophy of Jainism holds many crucial lessons for contemporary world, Shri Naidu said that Bhagwan Mahaveer taught that the way to liberation and bliss is to live lives of harmlessness and renunciation."
96,The Vice President said that one must learn to respect the nature and handover it to the next generation without spoiling it.
97,"Shri Naidu congratulated the Rural Health Organisation, Imphal on receiving the Award for Excellence in Community & Social Service."
98,"The Governor of Tamil Nadu, former Chief Election Commissioner of India, Shri T.S. Krishnamurthy, the Managing Trustee of Bhagwan Mahaveer Foundation were present on the occasion."
99,"The Vice President presented Mahaveer Awards to Dr. Shiranee Pereira for excellence in service on Non-violence, Shri P.C. Prakash for outstanding service in the field of Medicine, and Shri Indramani Singh for outstanding contribution to community and social."
100,Following is the text of Vice President's address:
101,Shri N Sugalchand Jain is a part of the ceremony celebrating the spirit of service to humanity.
102,"I understand that the Foundation, a public charitable trust, right from its inception in 1994 has been inspiring people to dedicate themselves to the cause of service to mankind."
103,Mahaveer Awardees are receiving the 21st Mahaveer awards today.
104,The fact that the number of awards instituted by the Foundation grew from one to four since its inception stands testament to the crucial role played by these awards in promoting the spirit of community service.
105,"I am told that the awards are presented for excellence in human endeavor in the fields of Non-Violence & Vegetarianism, Education, Medicine, Community & Social Service and Women entrepreneurship."
106,"The awardees have been chosen through a rigorous procedure and each one of them deserve to be honoured for their dedication, moral courage and their outstanding contributions towards improving the plight of humanity."
107,I congratulate the awardees and commend them for their achievements.
108,"India is the birth place of the ancient system of medicine, the Ayurveda."
109,The concept of ‘Zero’ and the number system are said to have been invented in India by the great Mathematician Aryabhata.
110,The ancient Indian civilization excelled in many fields of human endeavour.
111,The observation that there seemed to be no slavery in India was made in the accounts of several Greek philosophers and historians who visited India.
112,"Mark Twain famously said that “India is the cradle of the human race, the birthplace of human speech, the mother of history, the grandmother of legend, and the great grandmother of tradition.” He often spoke about the unique philosophical and spiritual characteristics of India’s civilization."
113,"India was the cultural capital of the world, the seat of the highest of human values of love, peace, tolerance and brotherhood and the source of profound knowledge and wisdom, the Vishwaguru to the world."
114,"India is the birth place of a religion which is firmly rooted in the ideals of love, sacrifice, non violence and peace, Jainism."
115,Bhagwan Mahaveer was a teacher of Jainism.
116,Jainism is a philosophy based on the philosophy of equal value of human and animal being.
117,"The three guiding principles of Jainism are right belief, right knowledge and right conduct. The principle of ahimsa is fundamental to Jain Philosophy."
118,Jainism holds that truth and reality are complex and always has multiple aspects.
119,The life of Bhagwan Mahaveer and the philosophy of Jainism are relevant in today's turbulent world.
120,"Friends, our civilization is at cross roads today. At this juncture, some of the answers to the pressing questions of our time can be found in the philosophy, principles and teachings of Lord Mahaveer."
121,It is time for an introspection of what makes us Indian.
122,It is the duty of future generations to hand over social order and natural resources to their posterity.
123,It is in celebration of this spirit of peaceful coexistence and service that Bhagwan Mahaveer Awards are being presented here today.
124,I understand that the winners of the Awards are those individuals who have gone above and beyond their call of duty to serve humanity.
125,"Shiranee Pereira, winner of the Excellence in Non-Violence and Vegetarianism Award is one of the founders of ‘People for Animals’, working for animal welfare and protection."
126,"Bhagwan Mahavir Jain Relief Foundation Trust, Hyderabad, has won an award for excellence in medicine for providing free dialysis treatment to those who cannot afford it. They also provide other things necessary for dialysis, such as medicines and equipments, at a subsidy."
127,"Rural Health Organisation, Imphal has received an award for its community and social service work."
128,I congratulate all those who are serving the country.
129,Bhagwan Mahaveer Foundation is custodians of a philosophy and way of life.
130,Private sector must ensure that the treatment provided by them is not only accessible but also affordable: Vice President
131,Private sector should not concentrate on urban areas alone and must set up healthcare facilities in the rural areas;Need to strengthen the Primary Healthcare system in our country;Inaugurates Rainbow Children's Hospital
132,"The Vice President of India, Shri M. Venkaiah Naidu, has said that private sector must ensure that the treatment they provide is affordable."
133,"Addressing a gathering after inaugurating Rainbow Children’s Hospital, in Chennai today, the Vice President hoped that the Hospital would provide specialized but affordable care to children and contribute to the larger national mission of ensuring all infants survive, thrive and grow up into healthy active citizens of the New India"
134,"Every Indian should provide a healthy childhood to their children, according to M Venkaiah Naidu."
135,The Vice President believes childhood is important for health and happiness.
136,"Expressing concern over the prematurity and low birth weight, pneumonia and diarrheal diseases, among others were main causes of child mortality in India, he stressed the need to step up the efforts in a concerted manner to meet the Sustainable Developmental Goals (SDGs)."
137,"The Vice President said that participation and cooperation of both Public and Private Sector is essential to improve the preventive and treatment interventions for newborns and those below five years to achieve the UN’s Sustainable Development Goal target of reducing under-five mortality to 25 per 1,000 live births by 2030."
138,The private sector should focus on healthcare development in rural areas as part of its CSR activities.
139,Shri Naidu said that the miniscule penetration of health insurance at the individual level was a major reason for increase in the out-of-pocket expenditure borne by the households and stressed the need to vastly expand the health insurance coverage of the population in the country.
140,"The Governor of Tamil Nadu, Shri Banwarilal Purohit, the Minister for Health & Family Welfare, Tamil Nadu C. Vijayabhaskar, the minister for Fisheries and Fishery Development, Tamil Tamil Nadu D. Jayakumar, the Member of Parliament, Dr. J. Jayavardhan and other dignitaries were present on the occasion."
141,Following is the text of Vice President's address:
142,"""I am happy to be present at the inaugural ceremony of the Rainbow Children’s Hospital here in Chennai, today."
143,Healthcare is one of the most important aspects of governance in developing countries like India.
144,Ensuring a healthy childhood to children is the responsibility of every Indian.
