title,posted,content
"
                        President of India to visit Andhra Pradesh on September 1 to 2, 2017 
                        
                        
                ","
                Posted On:
                31 AUG 2017 12:56PM by PIB Delhi
            ","
                
                    President's Secretariat
                
                
                
                
                
                    
                        President of India to visit Andhra Pradesh on September 1 to 2, 2017 
                        
                        
                
                
            
                Posted On:
                31 AUG 2017 12:56PM by PIB Delhi
            
                
                
                
                
                The President of India, Shri Ram Nath Kovind will visit Andhra Pradesh on September 1 and 2, 2017.

On September 1, 2017, the President will inaugurate the new hospital building of the Sri Venkateswara Institute of Medical Sciences (SVIMS) – Sri Padmavathi Medical College for Women. On the same day, he will also attend a civic reception and public meeting at Sri Venkateswara Arts College Ground, Tirupati.

On September 2, 2017, the President will have a darshan of Sri Varaha Swamy Varu, Tirumala, before returning to Delhi.

 

******

 

AKT/AK/SBP 

                
                
                (Release ID: 1501313)
                Visitor Counter : 154
                
                
                
                
                    
                
                
                    
                
                Read this release in: 
                
                        
                        
                            Tamil 
                    
                
                
                
                    
                        
                    
                
                
                
                
                    
                        
                        
                    
                
            "
"
                        President of India to visit Andhra Pradesh on September 1 to 2, 2017 
                        
                        
                ","
                Posted On:
                31 AUG 2017 12:56PM by PIB Delhi
            ","
                
                    President's Secretariat
                
                
                
                
                
                    
                        President of India to visit Andhra Pradesh on September 1 to 2, 2017 
                        
                        
                
                
            
                Posted On:
                31 AUG 2017 12:56PM by PIB Delhi
            
                
                
                
                
                The President of India, Shri Ram Nath Kovind will visit Andhra Pradesh on September 1 and 2, 2017.

On September 1, 2017, the President will inaugurate the new hospital building of the Sri Venkateswara Institute of Medical Sciences (SVIMS) – Sri Padmavathi Medical College for Women. On the same day, he will also attend a civic reception and public meeting at Sri Venkateswara Arts College Ground, Tirupati.

On September 2, 2017, the President will have a darshan of Sri Varaha Swamy Varu, Tirumala, before returning to Delhi.

 

******

 

AKT/AK/SBP 

                
                
                (Release ID: 1501313)
                Visitor Counter : 154
                
                
                
                
                    
                
                
                    
                
                Read this release in: 
                
                        
                        
                            Tamil 
                    
                
                
                
                    
                        
                    
                
                
                
                
                    
                        
                        
                    
                
            "
"
                        Press Communique 
                        
                        
                ","
                Posted On:
                28 AUG 2017 11:52AM by PIB Delhi
            ","
                
                    President's Secretariat
                
                
                
                
                
                    
                        Press Communique 
                        
                        
                
                
            
                Posted On:
                28 AUG 2017 11:52AM by PIB Delhi
            
                
                
                
                
