title,posted,content
"
                        The Tezpur University community should provide innovative solutions to local and national problems: President Kovind
                        
                        President of India graces the 19th Convocation of Tezpur University
                ","
                Posted On:
                26 FEB 2022 12:41PM by PIB Delhi
            ","
                
                    President's Secretariat
                
                
                   
                
                    
                        The Tezpur University community should provide innovative solutions to local and national problems: President Kovind
                        
                        President of India graces the 19th Convocation of Tezpur University
                
                
            
                Posted On:
                26 FEB 2022 12:41PM by PIB Delhi
            
                
                
                
                
                The Tezpur University community should provide innovative solutions to local and national problems, said the President of India, Shri Ram Nath Kovind. He was addressing the 19th Convocation of the Tezpur University at Tezpur, Assam today (February 26, 2022). He said that the students and faculty of Tezpur University should try to make it a major centre of innovation. He urged them to encourage community participation and use local resources for finding solutions to local and national problems. He was happy to note about innovative solutions provided by Tezpur University for making safe drinking water reach many villages in Assam. He said that the scope of the university’s engagement with villages should be further expanded. It can adopt some villages for helping in their overall development under Universities’ Social Responsibility.

 

The President said that Assam is gifted with extraordinary beauty of nature and rich bio-diversity. This has to be preserved. Every resident of Assam, especially the youth has to be very active on the fronts of conservation and sustainable development. He was happy to note about the renewable energy initiatives of the Tezpur University, especially in the villages. He said that the young population has greater stakes in keeping the planet green and they have to demonstrate greater awareness through their action. 

 

The President said that Assam has done a commendable job in conserving bio-diversity. Kaziranga National Park and Tiger Reserve, as also the Elephant Reserve are impressive examples of conservation. He said that conservation must be the watch word for every citizen, especially the student community.

 

Noting that the North-Eastern states give high priority to organic farming, the President said that the Tezpur University can play a major role in branding and marketing of agricultural produce of this region. He was happy to note that the university has received approval under the ‘Prime Minister-Formalization of Micro Food Processing Enterprises Scheme’ for setting up an incubation centre to process jackfruit and ready to eat cereals-based products. And the Food Engineering & Technology Department has been recognised as State Level Technical Institute for implementation of the Scheme. Referring the unique Joha rice of Assam which is known for its excellent taste and aroma, he said that universities of Assam can help the farmers by branding, popularising and marketing this unique variety of rice. There are many such agricultural products that can be promoted, he added. 

 

Pointing to the fact that academic activities have been affected by the Covid pandemic, the President said that the pandemic has had serious impact on the education of the relatively vulnerable sections of our people. He said that the National Education Policy 2020 which was released during the pandemic contains specific focus on digital education with the help of technology. With a view to making higher education more accessible, the central government has decided to establish a Digital University to provide access to students across the country for world-class quality universal education with personalized learning experience at the doorsteps of students. The Digital University will provide education in different Indian languages and ICT formats. He said that Tezpur University can become an active stakeholder in this initiative, specially by providing high quality digital content in Assamese and other languages of the North-East.

 

The President urged the entire team of Tezpur University to keep past, present and future students bound by the spirit of oneness and move rapidly towards the goals set by the university – xopaan bogaam teebro gotire. He said that by moving fast to achieve ambitious targets, the university would be able to contribute meaningfully to India’s emergence as a much more prosperous and strong nation by the year 2047 when the students of today will be among the decision makers. He said that the real spirit behind celebrating ‘Azadi Ka Amrit Mahotsav’, marking 75 years since our independence, is to build upon our learning so far and aim for higher goals. He urged Tezpur University to strive to be among the top 10 universities in the NIRF ranking in the near future.

 

Please Click here to see the President’s Speech - 

***

DS/AK

                
                
                (Release ID: 1801307)
                Visitor Counter : 874
                
                
                
                
                    
                
                
                    
                
                Read this release in: 
                
                        
                        
                            Urdu 
                    
                        ,
                    
                        
                        
                            Marathi 
                    
                        ,
                    
                        
                        
                            Hindi 
                    
                        ,
                    
                        
                        
                            Manipuri 
                    
                        ,
                    
                        
                        
                            Punjabi 
                    
                
                
                
                    
                        
                    
                
                
                
                
                    
                        
                        
                    
                
            "
"
                        The Tezpur University community should provide innovative solutions to local and national problems: President Kovind
                        
                        President of India graces the 19th Convocation of Tezpur University
                ","
                Posted On:
                26 FEB 2022 12:41PM by PIB Delhi
            ","
                
                    President's Secretariat
                
                
                   
                
                    
                        The Tezpur University community should provide innovative solutions to local and national problems: President Kovind
                        
                        President of India graces the 19th Convocation of Tezpur University
                
                
            
                Posted On:
                26 FEB 2022 12:41PM by PIB Delhi
            
                
                
                
                
                The Tezpur University community should provide innovative solutions to local and national problems, said the President of India, Shri Ram Nath Kovind. He was addressing the 19th Convocation of the Tezpur University at Tezpur, Assam today (February 26, 2022). He said that the students and faculty of Tezpur University should try to make it a major centre of innovation. He urged them to encourage community participation and use local resources for finding solutions to local and national problems. He was happy to note about innovative solutions provided by Tezpur University for making safe drinking water reach many villages in Assam. He said that the scope of the university’s engagement with villages should be further expanded. It can adopt some villages for helping in their overall development under Universities’ Social Responsibility.

 

The President said that Assam is gifted with extraordinary beauty of nature and rich bio-diversity. This has to be preserved. Every resident of Assam, especially the youth has to be very active on the fronts of conservation and sustainable development. He was happy to note about the renewable energy initiatives of the Tezpur University, especially in the villages. He said that the young population has greater stakes in keeping the planet green and they have to demonstrate greater awareness through their action. 

 

The President said that Assam has done a commendable job in conserving bio-diversity. Kaziranga National Park and Tiger Reserve, as also the Elephant Reserve are impressive examples of conservation. He said that conservation must be the watch word for every citizen, especially the student community.

 

Noting that the North-Eastern states give high priority to organic farming, the President said that the Tezpur University can play a major role in branding and marketing of agricultural produce of this region. He was happy to note that the university has received approval under the ‘Prime Minister-Formalization of Micro Food Processing Enterprises Scheme’ for setting up an incubation centre to process jackfruit and ready to eat cereals-based products. And the Food Engineering & Technology Department has been recognised as State Level Technical Institute for implementation of the Scheme. Referring the unique Joha rice of Assam which is known for its excellent taste and aroma, he said that universities of Assam can help the farmers by branding, popularising and marketing this unique variety of rice. There are many such agricultural products that can be promoted, he added. 

 

Pointing to the fact that academic activities have been affected by the Covid pandemic, the President said that the pandemic has had serious impact on the education of the relatively vulnerable sections of our people. He said that the National Education Policy 2020 which was released during the pandemic contains specific focus on digital education with the help of technology. With a view to making higher education more accessible, the central government has decided to establish a Digital University to provide access to students across the country for world-class quality universal education with personalized learning experience at the doorsteps of students. The Digital University will provide education in different Indian languages and ICT formats. He said that Tezpur University can become an active stakeholder in this initiative, specially by providing high quality digital content in Assamese and other languages of the North-East.

 

The President urged the entire team of Tezpur University to keep past, present and future students bound by the spirit of oneness and move rapidly towards the goals set by the university – xopaan bogaam teebro gotire. He said that by moving fast to achieve ambitious targets, the university would be able to contribute meaningfully to India’s emergence as a much more prosperous and strong nation by the year 2047 when the students of today will be among the decision makers. He said that the real spirit behind celebrating ‘Azadi Ka Amrit Mahotsav’, marking 75 years since our independence, is to build upon our learning so far and aim for higher goals. He urged Tezpur University to strive to be among the top 10 universities in the NIRF ranking in the near future.

 

Please Click here to see the President’s Speech - 

***

DS/AK

                
                
                (Release ID: 1801307)
                Visitor Counter : 874
                
                
                
                
                    
                
                
                    
                
                Read this release in: 
                
                        
                        
                            Urdu 
                    
                        ,
                    
                        
                        
                            Marathi 
                    
                        ,
                    
                        
                        
                            Hindi 
                    
                        ,
                    
                        
                        
                            Manipuri 
                    
                        ,
                    
                        
                        
                            Punjabi 
                    
                
                
                
                    
                        
                    
                
                
                
                
                    
                        
                        
                    
                
            "
"
                        President of India’s Message on the Eve of National Day of Kuwait 
                        
                        
                ","
                Posted On:
                25 FEB 2017 8:54PM by PIB Delhi
            ","
                
                    President's Secretariat
                
                
                
                
                
                    
                        President of India’s Message on the Eve of National Day of Kuwait 
                        
                        
                
                
            
                Posted On:
                25 FEB 2017 8:54PM by PIB Delhi
            
                
                
                
                
                
 
The President of India, Shri Pranab Mukherjee has extended his greetings and felicitations to the Amir and people of the State of Kuwait on the eve of their National Day (February 25, 2017). 

In a message to His Highness Sheikh Sabah Al-Ahmad Al-Jaber Al-Sabah, the Amir of the State of Kuwait, the President has said, “On behalf of the Government and the people of India, it gives me immense pleasure to extend warm greetings and heartiest felicitations to Your Highness and to the friendly people of the State of Kuwait on the occasion of your National Day. 

Our two countries have historically enjoyed close and friendly relations based on millennia-old cultural and economic exchanges, marked by extensive people-to-people contacts. I am confident that our mutually beneficial comprehensive partnership encompassing various spheres of engagement will continue to further diversify and strengthen in the years to come. 

I take this opportunity to convey to Your Highness my best wishes for your personal good health and well-being, as also for the continued progress and prosperity of the friendly people of the State of Kuwait”. 

AKT/NT 

                
                
                (Release ID: 1483323)
                Visitor Counter : 30
                
                
                
                
                    
                
                
                    
                
                
                
                
                
                
                    
                        
                    
                
                
                
                
                    
                        
                        
                    
                
            "
"
                        President of India’s message on the eve of national day of Estonia 
                        
                        
                ","
                Posted On:
                23 FEB 2017 7:30PM by PIB Delhi
            ","
                
                    President's Secretariat
                
                
                
                
                
                    
                        President of India’s message on the eve of national day of Estonia 
                        
                        
                
                
            
                Posted On:
                23 FEB 2017 7:30PM by PIB Delhi
            
                
                
                
                
                The President of India, Shri Pranab Mukherjee has extended his greetings  and felicitations to the Government and people of the Republic of  Estonia on the eve of theirNational Day (February 24, 2017).  

In a message to Her Excellency Ms. Kersti Kaljulaid, the President of  the Republic of Estonia, the President has said, “On behalf of the  Government and people of India and on my own behalf, it gives me great  pleasure to extend warm greetings and felicitations to Your Excellency  and the people of the Republic of Estonia on the occasion of your  National Day. 

Relations between India and Estonia have always been warm and friendly.   It is my firm belief that our ties will continue to strengthen and  expand to the mutual benefit of our peoples in the years to come. 

I would also like to take this opportunity to convey my best wishes for  Your Excellency’s good health and well-being and for the continued  progress and prosperity of the friendly people of the Republic of  Estonia”. 
 
***


AKT/NT/SK
                
                
                (Release ID: 1483299)
                Visitor Counter : 29
                
                
                
                
                    
                
                
                    
                
                
                
                
                
                
                    
                        
                    
                
                
                
                
                    
                        
                        
                    
                
            "
"
                        President of India inaugurates international conference on ‘Bharat Bodh’ 
                        
                        
                ","
                Posted On:
                23 FEB 2017 7:29PM by PIB Delhi
            ","
                
                    President's Secretariat
                
                
                
                
                
                    
                        President of India inaugurates international conference on ‘Bharat Bodh’ 
                        
                        
                
                
            
                Posted On:
                23 FEB 2017 7:29PM by PIB Delhi
            
                
                
                
                
                
The President of India, Shri Pranab Mukherjee inaugurated an international conference on ‘Bharat Bodh’ (Idea of Bharat) organized by the Indira Gandhi National Open University and Bhartiya Shikshan Mandal today (February 23, 2017) in New Delhi. 
Speaking on the occasion, the President complimented the Indira Gandhi National Open University (IGNOU) and the Bharatiya Shikshan Mandal for organizing this conference bringing together intellectuals, academicians and researchers to unravel various aspects of the “Bharat Bodh” (Idea of Bharat).  He expressed happiness that these two collaborators have brought their respective areas of expertise and scholarship to this important three day conference. He stated that the synergy and dynamism of these institutions should channelize the exploration of thousands of years of our journey as a civilization and people. He also hoped that deep insights would be gained into the idea of statecraft, governance, individual-society relations, structures, purposes and methodology of education, organic relationships with nature, and correlation between spiritual and material life.
The President said that Bharat has always been recognized as the storehouse of knowledge and discovery - knowledge which liberates, and discovery which fathoms the deepest thoughts of humanity and co-existence. As the origin and repository of philosophical and spiritual values, rivers of wisdom flow through the collective consciousness of our great people. He quoted American author Mark Twain and said “India is the cradle of the human race, the birthplace of human speech, the mother of history, the grandmother of legend, and the great grandmother of tradition. Our most valuable and most instructive materials in the history of man are treasured up in India only”. The President said that this was indeed true. India is a land of great traditions, history and discoveries. Its people have lived in this great civilization giving rise to a unique trait of oneness overcoming the apparent contradictions, thriving on a composite culture and yet alive to the identities of its sub-parts. The President said that India is a land of huge diversity. Yet all its people are living under one system, one flag and one Constitution. All of us are proud to be Indiansand we celebrate this diversity.  He hoped that the deliberations at the Conference would enrich our perceptions regarding our country.   
The President said that the idea of Bharat flows from the eternal wisdom of our rich intellectual traditions. Constant churning and refinement has been the secret of the continuity of the Bharatiya thought through times and turbulences. Our core civilizational values which are equally relevant today and which speak  of love for the motherland, performance of duty, compassion for all, tolerance for pluralism, respect for women, honesty in life, self-restraint in conduct, responsibility in action, and discipline – form the Bharatiya world view. The Bharatiya conceptualization of the world encompasses philosophy, knowledge systems, principles of statecraft and legality, literature, architecture, art and music and all other important spheres of life. The diverse strands of the Bharatiya thought find unity in their objectives similar to the diversity and oneness of the universe. They remain instilled with the same essential spirit residing in every being and non-being. This is manifested in the unique ways of celebrating our diversity and confluence, and change with continuity.
***
AKT/NT/SK

                
                
                (Release ID: 1483298)
                Visitor Counter : 62
                
                
                
                
                    
                
                
                    
                
                
                
                
                
                
                    
                        
                    
                
                
                
                
                    
                        
                        
                    
                
            "
"
                        President of India’s message on the eve of National Day of Brunei Darussalam 
                        
                        
                ","
                Posted On:
                22 FEB 2017 12:36PM by PIB Delhi
            ","
                
                    President's Secretariat
                
                
                
                
                
                    
                        President of India’s message on the eve of National Day of Brunei Darussalam 
                        
                        
                
                
            
                Posted On:
                22 FEB 2017 12:36PM by PIB Delhi
            
                
                
                
                
                
 
The President of India, Shri Pranab Mukherjee has extended his greetings and felicitations to the Sultan and people of Brunei Darussalam on the eve of their National Day (February 23, 2017).
 In a message to His Majesty Sultan Haji Hassanal Bolkiah Mu’izzaddin Waddaulah, the Sultan and Yang Di-Pertuan of Negara Brunei Darussalam, the President has said, “On  behalf of the Government and the people of India and on my own behalf,  it gives me immense pleasure to extend warm greetings to Your Majesty  and the people of Brunei Darussalam on the auspicious occasion of your  National Day.
 India and Brunei Darussalam have traditionally enjoyed close ties of friendship and cooperation.  I  am confident that bilateral relations between our two friendly  countries will continue to be strengthened and further deepened for the  benefit of our two peoples in the years to come.
 Please  accept, Your Majesty, my best wishes for you continued good health and  personal well-being and for the continued progress and prosperity of the  friendly people of Brunei Darussalam”.          
 
***
 
 
AKT/AK/AK
                
                
                (Release ID: 1483171)
                Visitor Counter : 19
                
                
                
                
                    
                
                
                    
                
                
                
                
                
                
                    
                        
                    
                
                
                
                
                    
                        
                        
                    
                
            "
"
                        President of India’s message on the eve of National Day of Brunei Darussalam 
                        
                        
                ","
                Posted On:
                22 FEB 2017 12:33PM by PIB Delhi
            ","
                
                    President's Secretariat
                
                
                
                
                
                    
                        President of India’s message on the eve of National Day of Brunei Darussalam 
                        
                        
                
                
            
                Posted On:
                22 FEB 2017 12:33PM by PIB Delhi
            
                
                
                
                
                
 
The President of India, Shri Pranab Mukherjee has extended his greetings and felicitations to the Sultan and people of Brunei Darussalam on the eve of their National Day (February 23, 2017).
 In a message to His Majesty Sultan Haji Hassanal Bolkiah Mu’izzaddin Waddaulah, the Sultan and Yang Di-Pertuan of Negara Brunei Darussalam, the President has said, “On  behalf of the Government and the people of India and on my own behalf,  it gives me immense pleasure to extend warm greetings to Your Majesty  and the people of Brunei Darussalam on the auspicious occasion of your  National Day.
 India and Brunei Darussalam have traditionally enjoyed close ties of friendship and cooperation.  I  am confident that bilateral relations between our two friendly  countries will continue to be strengthened and further deepened for the  benefit of our two peoples in the years to come.
 Please  accept, Your Majesty, my best wishes for you continued good health and  personal well-being and for the continued progress and prosperity of the  friendly people of Brunei Darussalam”.          
 
***
 
 
AKT/AK/AK
                
                
                (Release ID: 1483170)
                Visitor Counter : 13
                
                
                
                
                    
                
                
                    
                
                
                
                
                
                
                    
                        
                    
                
                
                
                
                    
                        
                        
                    
                
            "
"
                        President of India’s message on the eve of Independence Day of St. Lucia 
                        
                        
                ","
                Posted On:
                21 FEB 2017 3:48PM by PIB Delhi
            ","
                
                    President's Secretariat
                
                
                
                
                
                    
                        President of India’s message on the eve of Independence Day of St. Lucia 
                        
                        
                
                
            
                Posted On:
                21 FEB 2017 3:48PM by PIB Delhi
            
                
                
                
                
                The President of India, Shri Pranab Mukherjee has extended his greetings  and felicitations to the Government and people of St. Lucia on the eve  of their Independence Day (February 22, 2017). 

In a message to Her Excellency Ms. Dame Pearlette Louisy, the  Governor General of Saint Lucia, the President has said, “On behalf of  the Government and people of India and on my own behalf, it gives me  great pleasure to extend warm greetings and felicitations to you and to  the people of Saint Lucia on the occasion of your Independence Day. 

Our nations have enjoyed a long standing relationship reinforced by  warm friendship and cooperation.  The convergence of our views on a  number of global issues has contributed to our excellent coordination in  international fora.  The recent visit of our Minister of State for  Skill Development and Entrepreneurship to Saint Lucia has enhanced our  mutual understanding.  Our ties have been further reinforced by our  joint efforts in the Commonwealth and CARICOM.  I am confident that our  bilateral relations will be further strengthened for our mutual benefit  in the years to come. 

I avail this opportunity to convey  to Your Excellency, my best wishes  for your good health and personal well-being, as well as for the  progress and continued prosperity of the friendly people of Saint  Lucia”.	 


*****
 

AKT/SH/SBP 


                
                
                (Release ID: 1483122)
                Visitor Counter : 33
                
                
                
                
                    
                
                
                    
                
                
                
                
                
                
                    
                        
                    
                
                
                
                
                    
                        
                        
                    
                
            "
"
                        President of India greets King of Bhutan on his birthday 
                        
                        
                ","
                Posted On:
                20 FEB 2017 3:33PM by PIB Delhi
            ","
                
                    President's Secretariat
                
                
                
                
                
                    
                        President of India greets King of Bhutan on his birthday 
                        
                        
                
                
            
                Posted On:
                20 FEB 2017 3:33PM by PIB Delhi
            
                
                
                
                
                
 
The President of India, Shri Pranab Mukherjee has conveyed his  greetings and felicitations to His Majesty JigmeKhesarNamgyelWangchuck,  the King of Bhutan on his birthday which falls on February 21.
In his message, the President has said, “Please accept my warm  greetings on behalf of the Government and people of India on the special  occasion of Your Majesty’s birthday.
2016 has been a landmark year of celebrations on account of the  joyous birth of the Royal Heir, the Gyalsey and the completion of ten  years of Your Majesty’s successful reign.
India and Bhutan are not only close neighbours but special friends.  Our exemplary relationship has stood the test of time.  India attaches  great value to Your Majesty’s personal contribution to the consolidation  of our historic ties of mutually beneficial cooperation.
On this occasion, I offer my best wishes for the health and  happiness of Your Majesty and the esteemed members of the Royal Family  of Bhutan and for the continued progress and prosperity of the friendly  people of Bhutan”.
****
AKT/SH/SBP
                
                
                (Release ID: 1483050)
                Visitor Counter : 200
                
                
                
                
                    
                
                
                    
                
                
                
                
                
                
                    
                        
                    
                
                
                
                
                    
                        
                        
                    
                
            "
"
                        President of India Condoles the Passing Away of Shri Altamas Kabir 
                        
                        
                ","
                Posted On:
                19 FEB 2017 12:30PM by PIB Delhi
            ","
                
                    President's Secretariat
                
                
                
                
                
                    
                        President of India Condoles the Passing Away of Shri Altamas Kabir 
                        
                        
                
                
            
                Posted On:
                19 FEB 2017 12:30PM by PIB Delhi
            
                
                
                
                
                
 
The  President of India, Shri Pranab Mukherjee has condoled the passing away  of former Chief Justice of India, Shri Altamas Kabir. 

In a message to his wife, Smt. Meena Kabir, the President has said, “I  am sad to learn about the passing away of your husband and former Chief  Justice of India Shri Altamas Kabir. 

Shri Kabir was a brilliant judge and I have many fond memories of my  association with him during his tenure as Chief Justice of India. 

Justice Kabir was an eminent and progressive jurist known for his path  breaking judgements. He shall be particularly remembered for his  initiatives with regard to legal reforms.  In his passing away, the  nation has lost a distinguished public figure. 

Please accept my heartfelt condolences and convey them to the members of  your family. I pray to the Almighty to give you and your family the  strength and courage to bear this irreparable loss”. 
*****


AKT/SH
                
                
                (Release ID: 1483036)
                Visitor Counter : 26
                
                
                
                
                    
                
                
                    
                
                
                
                
                
                
                    
                        
                    
                
                
                
                
                    
                        
                        
                    
                
            "
"
                        Prominent Bangladeshi Artist and Freedom Fighter Shahabuddin Ahmed commences stay in Rashtrapati Bhavan as Artist in-residence 
                        
                        
                ","
                Posted On:
                18 FEB 2017 9:00PM by PIB Delhi
            ","
                
                    President's Secretariat
                
                
                
                
                
                    
                        Prominent Bangladeshi Artist and Freedom Fighter Shahabuddin Ahmed commences stay in Rashtrapati Bhavan as Artist in-residence 
                        
                        
                
                
            
                Posted On:
                18 FEB 2017 9:00PM by PIB Delhi
            
                
                
                
                
