title,posted,content
"
                        President of India condoles the loss of lives of army personnel in an avalanche in Kashmir
                        
                        
                ","
                Posted On:
                27 JAN 2017 6:56PM by PIB Delhi
            ","
                
                    President's Secretariat
                
                
                
                
                
                    
                        President of India condoles the loss of lives of army personnel in an avalanche in Kashmir
                        
                        
                
                
            
                Posted On:
                27 JAN 2017 6:56PM by PIB Delhi
            
                
                
                
                
                 
The President of India, Shri Pranab Mukherjee has condoled the loss of  lives of a number of Army personnel in an avalanche in Kashmir. 

In a message to General Bipin Rawat, Chief of Army Staff, the President  has said “I am sad to learn about the avalanche in Kashmir in which a  number of Army personnel lost their lives and some are reported missing.  

I understand rescue and relief operations are currently underway. I am  sure that concerned Army authorities and the State Government are  providing all possible aid to the bereaved families and medical  assistance to the injured. 

Please convey my heartfelt condolences to the families of the deceased.  My prayers for an early and speedy recovery of all injured personnel”. 
  *****


AKT/AK
                
                
                (Release ID: 1481300)
                Visitor Counter : 528
                
                
                
                
                    
                
                
                    
                
                
                
                
                
                
                    
                        
                    
                
                
                
                
                    
                        
                        
                    
                
            "
"
                        President of India condoles the loss of lives of army personnel in an avalanche in Kashmir
                        
                        
                ","
                Posted On:
                27 JAN 2017 6:56PM by PIB Delhi
            ","
                
                    President's Secretariat
                
                
                
                
                
                    
                        President of India condoles the loss of lives of army personnel in an avalanche in Kashmir
                        
                        
                
                
            
                Posted On:
                27 JAN 2017 6:56PM by PIB Delhi
            
                
                
                
                
                 
The President of India, Shri Pranab Mukherjee has condoled the loss of  lives of a number of Army personnel in an avalanche in Kashmir. 

In a message to General Bipin Rawat, Chief of Army Staff, the President  has said “I am sad to learn about the avalanche in Kashmir in which a  number of Army personnel lost their lives and some are reported missing.  

I understand rescue and relief operations are currently underway. I am  sure that concerned Army authorities and the State Government are  providing all possible aid to the bereaved families and medical  assistance to the injured. 

Please convey my heartfelt condolences to the families of the deceased.  My prayers for an early and speedy recovery of all injured personnel”. 
  *****


AKT/AK
                
                
                (Release ID: 1481300)
                Visitor Counter : 528
                
                
                
                
                    
                
                
                    
                
                
                
                
                
                
                    
                        
                    
                
                
                
                
                    
                        
                        
                    
                
            "
"
                        Vice President Greets Citizens on Republic Day
                        
                        
                ","
                Posted On:
                25 JAN 2017 1:31PM by PIB Delhi
            ","
                
                    President's Secretariat
                
                
                
                
                
                    
                        Vice President Greets Citizens on Republic Day
                        
                        
                
                
            
                Posted On:
                25 JAN 2017 1:31PM by PIB Delhi
            
                
                
                
                
                The  Vice President of India, Shri M. Hamid Ansari has conveyed his warm  greetings and best wishes to the citizens of our country on the occasion  of Republic Day Celebrations. In a message, he said that we should  reaffirm our commitment towards the Constitution and founding principles  of our Republic and revalidate our faith in the cherished ideals of  liberty, equality, fraternity and justice for all.
 
