title,posted,content
"
                        The Prime Minister, Shri Narendra Modi addressed the nation from the ramparts of the Red Fort on the 76th Independence Day
                        
                        
                ","
                Posted On:
                15 AUG 2022 2:17PM by PIB Delhi
            ","
                
                    Prime Minister's Office
                
                
                   
                
                    
                        The Prime Minister, Shri Narendra Modi addressed the nation from the ramparts of the Red Fort on the 76th Independence Day
                        
                        
                
                
            
                Posted On:
                15 AUG 2022 2:17PM by PIB Delhi
            
                
                
                
                
                Following are the highlights from his speech


	Compliments to my dear countrymen on the momentous occasion of completion of 75 years of independence. Many congratulations to all! It is heartening to see our tricolour being unfurled with pride, honour and glory, not only at all the corners of India, but also worldwide by our Indians who love their country immensely. 
	All the countrymen are deeply indebted to Pujya Bapu, Netaji Subhash Chandra Bose, Babasaheb Ambedkar, Veer Savarkar, who devoted all their life on the path of duty towards the nation. The path of obligation has been their sole life path. 
	This country is grateful to Mangal Pandey, Tantya Tope, Bhagat Singh, Sukhdev, Rajguru, Chandrashekhar Azad, Ashfaq Ulla Khan, Ram Prasad Bismil and countless such revolutionaries of ours who shook the foundations of British rule. This nation is grateful to those brave women, be it Rani Lakshmibai, Jhalkari Bai, Durga Bhabhi, Rani Gaidinliu, Rani Chennamma, Begum Hazrat Mahal, Velu Nachiyar, who showed the mettle of women power of India.
	Today is an opportunity to pay homage to countless such great men like Dr. Rajendra Prasad ji, Nehru ji, Sardar Vallabhbhai Patel, Shyama Prasad Mookerjee, Lal Bahadur Shastri, Deendayal Upadhyay, Jai Prakash Narayan, Ram Manohar Lohia, Acharya Vinoba Bhave, Nanaji Deshmukh, Subramania Bharati who fought the war of independence and built the country after independence.
	When we talk about the freedom struggle, we cannot forget to take pride of our tribal society living in forests. There are countless names like Bhagwan Birsa Munda, Sidhu-Kanhu, Alluri Sitarama Raju, Govind Guru, who became the voice of freedom movement and inspired my tribal brothers and sisters, mothers and youth in the remotest jungles to live and die for the motherland. It has been the good fortune of the country that there have been many aspects of the freedom struggle. 
	From the last year, we are witnessing how the country is celebrating the ‘Amrit Mahotsav’. It all began with Dandi Yatra in 2021. The people held programs in every district, every corner of India to enlarge the scope of goals of the ‘Amrit Mahotsav’ of Independence. This was perhaps for the first time in history that such a huge and comprehensive festival for a single purpose was celebrated.  
	An attempt was made in every corner of India to remember all those great men who did not find mention in history for some reasons or who were forgotten.  Today, the nation found out all such heroes and great men from every corner of the country and paid tributes to them for their sacrifices. It was an opportunity to pay tributes to all these great men during the ‘Amrit Mahotsav’.
	Today, as we are celebrating the Azadi Ka Amrit Mahotsav, it is an opportunity to recall the contributions made by those who dedicated their lives for the country during the last 75 years, those who protected the country and fulfilled the country’s resolutions; be it the army personnel, police personnel, bureaucrats, public representatives, administrators of the local self-government, state administration or central administration. Today we must also recall the contributions made by the crores of citizens of the country who have done everything possible to take the country forward despite various challenges in 75 years. 
	This journey of 75 years has been full of ups and downs. Amidst good and bad times our countrymen have made various achievements; they have made efforts and have not given up. They didn’t let the resolutions to get lost. 
	The world was not cognizant that India has an inherent potential of strong culture and values, a bond of thoughts deeply embedded in mind and soul; and that is – that India is a mother of all democracy. And when those who have democracy pulsating in their mind walk with determination and resolve, it augurs doom for the most powerful sultanates of the world. This Mother of Democracy, our India has proven to all that we have this invaluable strength. 
	In the journey of 75 years, in the midst of hopes, aspirations, ups and downs, it is with everyone’s effort that we could reach thus far. And when in 2014, my countrymen gave me this responsibility, I was the first Indian born in free India, who got the privilege to sing praises of glory to my dear countrymen from the ramparts of the historical Red Fort. 
	From the farthest of latitudes and longitudes of India-east or west, north or south, ocean beds or Himalayan peaks, I have left no stone unturned to reach the corners and fulfil Mahatma Gandhi’s vision of inclusion. I have committed myself to his vision of empowering and uplifting the person sitting at the last mile. 
	 We are embarking on the glorious years of 75 years today on AMRIT MAHOTSAV. On the first morn of 76th year, I am filled with pride to see such an immensely endowed nation. 
	Every citizen of the country wants to change things, wants to see things change, but is not ready to wait. He wants these things to happen in front of his eyes and wants to do it as part of his duty.  And I believe whether it is the central government, state governments, institutions of local self-government, no matter what kind of governance system, everyone has to address this aspirational society and we cannot wait longer for their aspirations. 
	Our aspiration society has waited for a long time. But now they are not ready to force their future generations to live in wait and hence the first dawn of this ‘Amrit Kaal’ has brought a huge golden opportunity for us to fulfil the aspirations of that aspiration society.
	Recently, we have seen and experienced one or two such forces and that is the collective consciousness renaissance in India. I think that this awakening of consciousness, this renaissance, is our greatest asset.  Until 10th August, people would not even be aware of the power within the country. But for the last three days, the way the country has set about celebrating the journey of the Tricolour, even the leading experts of social science can't imagine the power within my country which has been shown by the Tricolour. 
	The world is looking at India proudly and with anticipation. The world has started searching for solutions to the problems on the soil of India. This change in the world, this change in the thinking of the world, is the result of our experienced journey of 75 years.
	The world has started realising where the power to fulfil the expectations actually lies. I see it as a feminine power. I see it as triple power or tri-shakti, i.e. aspiration, re-awakening and the world’s expectations. We are aware that to fulfil it, today, my countrymen have a major role in awakening this trust of the world in India. 
	130 crore countrymen after several decades of experience have shown the world the importance of a stable government, the power of political stability, policies and how trust develops in the policies. The world too is now able to understand it. And now when there is political stability, dynamism in policies, speed in decision making, ubiquity and universal trust, then everyone becomes a partner in development. 
	We started our journey with the mantra of  Sabka Saath, Sabka Vikas, but gradually the countrymen have added more colours to it with Sabka Vishwas and Sabka Prayas. So, we have seen our collective power and collective potential. 
	Azadi Ka Amrit Mahotsav is being celebrated with the campaign to build 75 Amrit Sarovars in every district today. People from every village are joining the campaign and offering their services. With their own efforts, the people are running a massive campaign for water conservation in their respective villages. 
	Today, I am talking about the strength of 130 crore countrymen, witnessing their dreams and feeling their resolutions from the ramparts of Red Fort, I believe we must focus our attention on the “Panch Pran” for the coming 25 years. You have to concentrate on your resolves and strength. And we must take up the responsibility of fulfilling all the dreams of the freedom fighters by embracing those Panch Pran by 2047 when the country celebrates 100 years of independence.
	The Panch Pran of Amrit Kaal- Goal of developed India, to remove any trace of colonial mindset, take pride in our roots, unity and sense of duty among citizens.
	The need of the hour is cooperative competitive federalism. Let there be a healthy spirit of competition among the states on progressing in different sectors.
	When, I first spoke about cleanliness during my first speech, the entire country embraced it. Everyone moved towards cleanliness as per his capacity and there is now antipathy towards filthiness. This is the country which has done it, is doing it and will continue to do so in future also. Freedom from open defecation has become possible in India today.
	When the world was in a dilemma, this is the country which crossed the target of 200 crore vaccinations in a time-bound manner and broke all the previous records. 
	We are dependent on the fuel from the Gulf. We had decided how to move towards bio-oil. The 10 percent ethanol blending seemed like a very big dream. Old experiences showed that it was not possible, but the country has realized this dream of 10 percent ethanol blending before time.
	Providing electricity connection to 2.5 crore people in such a short time was not a small task, but the country has done it. Today the country is rapidly providing water from tap to the homes of lakhs of families. 
	Experience tells us that we can achieve our goals once we are determined. Be it the goal of renewable energy, the intention of building new medical colleges in the country or creating a workforce of doctors, the pace has increased a lot in every field. 
	Brothers, how long will the world continue to distribute certificates to us? How long will we live on the certificates of the world? Shall we not set our own standards? Can a country of 130 crores not make an effort to exceed its standards? Under no circumstances should we try to look like others. It should be our temperament to grow with our own potential. We want freedom from slavery. The element of slavery should not remain in our mind even under the distant seven seas.
	I look with hope the way the new National Education Policy has been formulated with a lot of brainstorming, with the exchange of ideas from various people and is at the root of the country’s education policy. The skill that we have emphasized is such a power, which will give us the strength to be free from slavery.
	We have seen that sometimes our talent gets tied in the bondage of hope. This is the result of slave mentality. We should be proud of every language of our country. We may or may not know the language, but we should be proud that it is the language of my country and it is the language given to the world by our ancestors.
	Today we are witnessing the structure of Digital India. We are looking at start-ups. Who are these people? This is that pool of talent who lives in Tier-2 and Tier-3 cities, or in villages and belongs to poor families. These are our youngsters who are coming before the world today with new discoveries. 
	Today the world is discussing about holistic health care. But when it talks about holistic health care, it looks towards India’s yoga, India’s Ayurveda and India’s holistic lifestyle. This is our legacy that we are providing to the world. 
	The world is being influenced by it today. Now look at our strength. We are the people who know how to live with nature. Coarse paddy and millets are household items. This is our heritage. Due to the hard work of our small farmers, paddy flourished in small pieces of land. Today the world is moving ahead to celebrate the millet year at the international level. That means our heritage is being appreciated around the world today. Let us learn to be proud of it. We have a lot to offer to the world.
	We are the people who see the divine in the plants. We are the people who consider the river as mother. We are those people who see Shankar in every stone. This is our power. We see every river as a form of mother. Such enormity of the environment is our pride! When we are proud of such heritage, the world too will feel proud of it. 
	Today the world is facing a severe crisis due to conflicts caused by the attitude of one upmanship- the reason of all tensions. We have the wisdom to resolve this. Our scholars have said “Ekam Sat Vipra Bahudha Vadanti” meaning that absolute Truth is one but it is manifested differently. This is our glory. 



	We are the people who have seen the welfare of the world; we have been on the path of social good not only for our people but the whole world by believing in “sarve bhavantu sukhinaḥ, sarve santu nirāmayāḥ”. It is ingrained in our values that we will pray that may all be prosperous and happy, may all be free from illness, may all see what is auspicious, and may no one suffer.
	In the same way, another very important issue is Unity and solidarity. We need to celebrate the diversity of our huge country. The peaceful co-existence of innumerable traditions and creeds are our pride. For us all are equal. No one is inferior or superior; all are our own. This feeling of oneness is important for unity. 



	My brothers and sisters, from this rampart of Red Fort, I also want to share an agony.  What I wish to share is that it hurts me to say that we have witnessed a perversion in our day to day speaking, behaviour. We have been casually using expletives and cuss words which are abusive and against our women. Can we not pledge to get rid of every behaviour, culture that humiliates and demeans women in our daily life? Women’s pride is going to be a huge asset in fulfilling the dreams of the nation. I see this power and therefore I am insistent on it. 
	It is the job of the government to make efforts to provide 24 hours electricity, but it is the duty of the citizen to save as many units as he can. It is the responsibility and efforts of the government to supply water to every field, but a voice should come from each of my fields that we will move forward by saving water by focusing on 'per drop more crop'. It is our duty to do chemical free farming, organic farming and natural farming.
	Friends, whether it is police or people, ruler or administrator, no one can be untouched by this civic duty. If everyone performs the duties of a citizen, I am sure that we can achieve the desired goals ahead of time.
	Today is also the birth anniversary of Maharishi Aurobindo. I bow at the feet of that great man. But we need to remember the great man who gave a call for ‘Swadeshi to Swaraj’ and ‘Swaraj to Suraj’. This is his mantra. And, therefore, ‘AatmaNirbhar Bharat’ becomes the responsibility of every citizen, every government and every unit of society. ‘AatmaNirbhar Bharat’ is not a government agenda or a government programme. This is a mass movement of society, which we have to take forward.
	My friends, today we heard this sound after 75 years of independence for which our ears were yearning to hear. For the first time after 75 years, the Made in India cannon has saluted the Tricolor from the Red Fort. Will there be any Indian who will not be inspired by this sound? 
	My dear brothers and sisters, today I want to congratulate the soldiers of the army of my country from my heart. I salute the way the army jawans have shouldered this responsibility of self-reliance in an organized way and with courage.  The resolution of our country is not small when the armed forces make a list and decide not to import 300 defence products.
	Speaking of the PLI scheme, people from around the world are coming to India to try their luck. They are bringing new technology along with them. They are generating new employment opportunities. India is becoming a manufacturing hub. It is building a foundation for a Self-reliant India. 
	Be it manufacturing of electronic goods or mobile phones, today the country is progressing at a very fast pace. Which Indian wouldn’t be proud when our Brahmos is exported to the world? Today the Vande Bharat train and our metro coaches are becoming objects of attraction for the world.
	We have to become self-reliant in the energy sector. How long will we be dependent on others in the field of energy? We should be self-reliant in the field of solar energy, wind energy, various renewable energy sources and must lead in terms of Mission Hydrogen, bio fuel and electric vehicles. 
	Today natural farming is also a way of becoming self-reliant. Today the factories of Nano Fertilizer have brought a new hope in the country. But natural farming and chemical-free farming can give a boost to self-reliance. Today, new employment opportunities in the form of green jobs are opening up very fast in the country. 
	India has opened up space through its policies. India has come up with the most progressive policy regarding drones in the world. We have opened up new doors of opportunities for the youth of the country. 
	I also call upon the private sector to come forward. We have to dominate the world. One of the dreams of a self-reliant India is to ensure that India does not lag behind in fulfilling the needs of the world. Even if it is the MSMEs, we have to take our products to the world with Zero Defect, Zero Effect. We have to be proud of Swadeshi.
	Till today we always remember our revered Lal Bahadur Shastri ji for his inspirational clarion call of Jai Jawan Jai Kisan meaning “Hail the Soldier, Hail the Farmer. Later Atal Bihari Vajpayee ji added a new link of Jai Vigyan which meant “hail science” and we gave it utmost importance. But in this new phase Amritkal now it is imperative to add jai Anusandhaan that is “hail innovation”. Jai Jawan, Jai Kisan, Jai Vigyan, Jai Anusandhaan
	Today we are all set to enter the 5G era. You don’t have to wait too long before we match the global steps. We are ensuring that optical fiber reaches each and every village until the last mile. I am fully informed that the dream of Digital India will be attained through the rural India. Today I am happy that four lakh Common Service Centers of India are being developed in villages which are being managed by the youth of that village. 



	This Digital India movement of developing semiconductors, entering 5G era, spreading the network of optical fibers is not just to establish ourselves as modern and developed, but it is possible because of three intrinsic missions. The complete transformation of education eco-system, revolution in health infrastructure and improvement in quality of lifestyles of the citizens will be possible only through digitalization. 



	Friends, I can foresee that India will march ahead phenomenally in this decade which is hailed as the tech-age for humanity. It is a decade of technology. In the field of IT, India has become a force to reckon with globally. We have the competencies to contribute in this tech-age. 



	Our Atal Innovation Mission, our incubation centers, our startups are developing a whole new sector, opening up new opportunities for the younger generation. Whether it is a matter of space mission, whether it is about our Deep Ocean Mission, whether we want to go deep into the ocean or we have to touch the sky, these are new areas, by which we are moving forward.
	We must acknowledge and strengthen the potential of our small farmers, entrepreneurs, small and medium sized enterprises, cottage industries, micro industries, street vendors, domestic labourers, daily wagers, auto rickshaw drivers, bus service providers etc. These form the largest population who need to be empowered. 



	I want to say something from the experience of the last few years. You must have seen the power of ‘Nari Shakti’ in courts who are working in the field of judiciary. Look at the public representatives in the rural area. Our ‘Nari Shakti’ is devotedly engaged in solving the problems of our villages. Look at the field of knowledge or science, the ‘Nari Shakti’ of our country is visible. Even in the police force, our ‘Nari Shakti’ is taking the responsibility of protecting the people. 



	In every walk of life, whether it is the playground or the battlefield, the ‘Nari Shakti’ of India is coming forward with a new strength and a new belief. I can see the manifold contribution of ‘Nari Shakti’, my mothers, sisters and daughters, in the next 25 years compared to the contribution in the 75 years of India’s journey. The more we pay attention to this aspect, the more opportunities and facilities we provide to our daughters, they will return us much more than that. They will take the country to a new height. 



	There are many states of our country, which have played a great role in taking the country forward, have led and worked as examples in many fields. This gives strength to our federalism. But today the need of the hour is that we need cooperative federalism as well as cooperative competitive federalism. We need competition for development.
	I do not want to discuss everything but would definitely want to focus on two issues. One is corruption and the other is nepotism. We have to fight against corruption with all our might. In the last eight years, we have been successful in working for the betterment of the country by saving two lakh crore rupees which used to go into the wrong hands, using all the modern systems like Direct Benefit Transfer, Aadhaar and Mobile. 



	Those who fled the country after looting banks during the tenure of previous government, we have seized their property and are trying to get them back. Some have been forced to go behind the bars. We are trying to ensure that those who looted the country are compelled to return.
	Brothers and sisters, the corrupt are eating away the country like termites. I have to fight against it, intensify the fight and have to take it to a decisive point. So, my 130 crore countrymen, please bless me and support me! Today I have come to seek your support and cooperation so that I can fight this battle. I hope the country becomes victorious in this war. 



	It is truly a sad state of affairs that even after conviction in corruption cases in court of law or those who were jailed for such cases, some people stoop so low even to glorify them. Therefore, till there is a feeling of hatred against corrupt ones in society, this kind of mindset is not going to end.
	On the other hand, I want to discuss about nepotism and when I talk about nepotism, people think, I am only talking about nepotism in politics, but the reality is that this malaise has spread into all institutions of the country, which adversely affects the talent and opportunities. I, therefore, appeal to the people of the country from the ramparts of the Red Fort to take a pledge under the tricolor to root out the menace the nepotism for purification of India’s politics and all intuitions of the country in the true spirit of Indian Constitution.
	I urge the countrymen to start the ‘Amrit Kaal’ today by nurturing new possibilities, realizing new resolutions and moving ahead with confidence. The “Amrit Mahotsav’ of freedom has moved in the direction of ‘Amrit Kaal’ and, therefore, ‘Sabka Prayas’ (everyone’s efforts) is necessary in this ‘Amrit Kaal’. The spirit of Team India is going to take the country forward. This Team India of 130 crore countrymen will realize all the dreams by moving forward as a team. 


******

DS / SNC / RR     

                
                
                (Release ID: 1852024)
                Visitor Counter : 244
                
                
                
                
                    
                
                
                    
                
                Read this release in: 
                
                        
                        
                            Hindi 
                    
                        ,
                    
                        
                        
                            Urdu 
                    
                
                
                
                    
                        
                    
                
                
                
                
                    
                        
                        
                    
                
            "
"
                        Address by the Hon’ble President of India  Shri Ram Nath Kovind at a special session of Mizoram legislative assembly Aizawl, November 30, 2017 
                        
                        
                ","
                Posted On:
                30 NOV 2017 12:13PM by PIB Delhi
            ","
                
                    President's Secretariat
                
                
                
                
                
                    
                        Address by the Hon’ble President of India  Shri Ram Nath Kovind at a special session of Mizoram legislative assembly Aizawl, November 30, 2017 
                        
                        
                
                
            
                Posted On:
                30 NOV 2017 12:13PM by PIB Delhi
            
                
                
                
                
                
1.      This is my first visit to Mizoram after being elected President of India. I am truly happy to be here and thank the Speaker, the Deputy Speaker, the Chief Minister and all the other members of the Mizoram Legislative Assembly for inviting me to address this House.

2.      Mizoram is special in India. It stands out for a very mature and dignified political culture. This Assembly is the true embodiment of Mizoram’s political culture as well as of the will and aspirations of the people of the state. We are aware of the three Ds of the legislature. This is a place to debate, dissent and finally decide. Yet there are other principles to follow too. Ideally, the functioning of the legislature should be marked by dignity and decorum. And the political system should not allow differences to become disputes. 

 3.      While these principles are cherished in all democracies, they are not always followed. Sometimes, there are unfortunate disruptions. Here, I must commend and congratulate the Assembly of Mizoram. In its 45-year history, it has established a reputation for smooth conduct of business. The behaviour and participation of its members – of all of you, I should say – has conformed to the highest standards. This Assembly is a role model for our democracy and for how a legislative House should function.

 4.      The sense of honour and dignity that one sees in public life in Mizoram is heart-warming. It is also typical of this state’s rich society. The signing, implementation and adherence to the Mizo Accord of 1986 is still held up as a shining example all over the world. Yesterday I called it a miracle. And it truly is a miracle in the way in which it ended an insurgency situation and a conflict that had divided our country and Mizo society itself.

 5      All political stake-holders as well as civil society groups – including the Church and Church-affiliated groups, women’s groups and other non-governmental organisations – have got together to create an atmosphere for peace and development in Mizoram. The Accord and its legacy represent one of the greatest successes in India’s long history. One must recall the enlightened and far-sighted leadership of Pu Laldenga, as well as the efforts and generosity of spirit of Pu Lal Thanhawla, who is of course the Chief Minister today as well. And here I would also like to mention another stalwart of Mizoram, the respected Brigadier T. Sailo. Our Mizoram and our India owe these nation builders so much.

 

Members of the House

6.      India is a nation of astonishing diversity. In our country – and frankly even within states of our country – we see a huge variety of ethnic and religious identities, and so many languages, cultures and customs, modes of dress, food habits and types of cuisine. This diversity is our strength. It enriches each of us and contributes to both the unity and the wonder of India. It is important to preserve and cherish this diversity. 

7.      Economic integration and the movement of people from one part of the country to another for work or education are making all of us much more familiar with each other. For example, young men and women from Mizoram may be found working in the hospitality industry in Kerala or in an IT company in Pune. They contribute, they earn, they stand out for their professionalism – and they add to the cultural wealth of our shared society. It is this human connectivity that makes our country so unique.

8.      It is critical to complement it with physical and infrastructural connectivity. That is why Mizoram is such a focus of the government of India’s Act East Policy. This Policy aims at enhancing connectivity and trade linkages between Mizoram and the other states of the Northeast and the rest of the country – as well as neighbouring countries of Southeast Asia. 

 9.      This will give Mizoram’s agricultural produce and traditional products access to new markets. It will also strengthen IT and Internet connectivity, a process that will have a multiplier effect across a range of industries. Once we create this infrastructure, we can simply leave it to the entrepreneurship, the energy and the genius of the young people of this state to capitalise on it. With their high literacy levels and English-language skills, a golden opportunity lies before the youth of Mizoram.

 10.  To emphasise a point, I made in another speech recently, for a short time in our history there was a misconception about the Northeast being a “frontier”. Far from that, it is at the heart of an ancient trade corridor. For centuries, South Asia and Southeast Asia have been perceived as a composite trading region, with cultural similarities as well. Mizoram is right at the centre of this process and of this area. Mizoram’s geography can be its biggest asset – and the government of India is working to ensure just that.

 11.  A member of the House is elected by his or her voters. But once elected, the MLA represents the entire constituency, and not just those who have voted for him. The legislator equally represents those who did not vote for him or in fact those who opposed him. Similarly, a rival in an election is a political competitor and not an enemy. After the election, the competitor could become a colleague in the task of ensuring the well-being and development of a constituency, of the state and of the country.

12.  This is the beauty of a democratic polity that we must appreciate. I am glad to see that this philosophy has such an instinctive acceptance in Mizoram. Please keep it up.

 13.  In a short while, I will leave Aizawl and Mizoram. I am reluctant to go as the charm and warmth of the people of the state and the loving reception that I have received here have really touched my emotions. In particular, I was very struck by the friendly, easy-going and yet disciplined manner in which people of the city lined up to greet me as I drove from the helipad yesterday. Some of the lovely smiles I saw are still fresh in my memory. I promise to come back. 

14.  And before I conclude, I would like to convey to all the members of the House, as well as to the officers and staff of the Assembly, the security persons deployed here, and of course all your families -- and indeed all the people of Mizoram – my best wishes for the upcoming Festive Season. 

 

Merry Christmas and a Happy New Year in advance. May all our dreams for Mizoram come true!

 

Thank you                     

Jai Hind!

 

*****

AKT/AK/SBP


                
                
                (Release ID: 1511299)
                Visitor Counter : 109
                
                
                
                
                    
                
                
                    
                
                
                
                
                
                
                    
                        
                    
                
                
                
                
                    
                        
                        
                    
                
            "
"
                        President of India inaugurates housing complexes for economically weaker sections under BSUP schemes; says Mizoram is a role model for the world in terms of peaceful resolution of political disputes 
                        
                        
                ","
                Posted On:
                29 NOV 2017 6:06PM by PIB Delhi
            ","
                
                    President's Secretariat
                
                
                
                
                
                    
                        President of India inaugurates housing complexes for economically weaker sections under BSUP schemes; says Mizoram is a role model for the world in terms of peaceful resolution of political disputes 
                        
                        
                
                
            
                Posted On:
                29 NOV 2017 6:06PM by PIB Delhi
            
                
                
                
                
                The President of India, Shri Ram Nath Kovind, inaugurated housing complexes for economically weaker sections under Basic Services to Urban Poor (BSUP) schemes of Government of Mizoram in Aizawl, today (November 29, 2017). 

Speaking on the occasion, the President said that housing for all as well as planning for our urban population, which is growing by the day, is a challenge not just for Mizoram but for the entire country. It is the focus of flagship programmes of the government of India. The meeting of certain milestones in housing for the poor and in building urban infrastructure will help us achieve the goals of New India by 2022, when we complete 75 years as a independent nation. And New India is simply not possible without New Mizoram. 

The President said that there is a vitality to Mizo society that is commendable. This state is a role model for the world in terms of peaceful resolution of political disputes. The Mizo Accord of 1986 has been honoured by all sides, and an insurgency situation ended with all stake-holders agreeing to work peacefully for the greater common good of the state and its people. This is a miracle of our times. It gives us an insight into Mizo society – a society of honourable men and women. He congratulated all the people of Mizoram, including the Church and its affiliated organisations, the youth and women’s groups, civil society groups and political parties, for this spirit of fraternity and cooperation. 

The President said that the Indian economy is today among the fastest growing in the world. From innovation in agriculture to the digital economy, from manufacturing to the expanding services sector – there are so many good news stories. Young people from Mizoram are very much part of the story. In the IT industry, the hospitality industry and other service sector industries, Mizo boys and girls are making their mark in different corners of the country. And their work is drawing admiration for Mizoram. There is admiration for the education and literacy skills of young Mizos. A literacy rate of 91 per cent – as per the 2011 census – is truly remarkable. There is also admiration for the values, work ethic and professionalism of young men and women from Mizoram. 

The President said that we have a lot of hope in the young people of Mizoram. They will build Mizoram’s future and India’s future. And they are the risk takers, the entrepreneurs and job creators who will shape our destiny. The need is to create more opportunities within Mizoram itself. Like the rest of the Northeast, Mizoram is key to India’s Act East Policy. Trade will grow and to everybody’s benefit. 

The President noted that Mizoram has so much to offer. Harnessed appropriately, bamboo can be a wonder crop. With value addition, it can be used to create a variety of products and many, many jobs. Horticulture is another area with huge potential. Mizoram grows pineapples and exotic fruit such as passion fruit. These deserve a much wider market. And they deserve a thriving food processing industry locally, which can combine technology with the amazing traditional skills of the Mizo people. 
 

******



AKT/SH/SBP 

                
                
                (Release ID: 1511253)
                Visitor Counter : 322
                
                
                
                
                    
                
                
                    
                
                
                
                
                
                
                    
                        
                    
                
                
                
                
                    
                        
                        
                    
                
            "
"
                        Address by the Hon’ble President of India Shri Ram Nath Kovind on the occasion of inauguration of housing complexes for economically weaker sections under BSUP schemes Raj Bhavan, Aizawl, November 29, 2017 
                        
                        
                ","
                Posted On:
                29 NOV 2017 6:05PM by PIB Delhi
            ","
                
                    President's Secretariat
                
                
                
                
                
                    
                        Address by the Hon’ble President of India Shri Ram Nath Kovind on the occasion of inauguration of housing complexes for economically weaker sections under BSUP schemes Raj Bhavan, Aizawl, November 29, 2017 
                        
                        
                
                
            
                Posted On:
                29 NOV 2017 6:05PM by PIB Delhi
            
                
                
                
                
                
	This is my first visit to Mizoram after becoming President of India. I am truly glad that my first event here is so meaningful to the lives of some of our most deprived fellow citizens – and that I am inaugurating Housing Complexes for Economically Weaker Sections under Basic Services for Urban Poor Schemes. I commend the efforts of the State Government and Chief Minister Pu Lal Thanhawla.


 


	Housing for all as well as planning for our urban population, which is growing by the day, is a challenge not just for Mizoram but for the entire country. It is the focus of flagship programmes of the government of India. The meeting of certain milestones in housing for the poor and in building urban infrastructure will help us achieve the goals of New India by 2022, when we complete 75 years as a independent nation. And New India is simply not possible without New Mizoram.


 


	There is a vitality to Mizo society that is commendable. This state is a role model for the world in terms of peaceful resolution of political disputes. The Mizo Accord of 1986 has been honoured by all sides, and an insurgency situation ended with all stake-holders agreeing to work peacefully for the greater common good of the state and its people. This is a miracle of our times. It gives us an insight into Mizo society – a society of honourable men and women. And I should say very strong-minded women. Women who are held up as a cherished example in other parts of our country.


 


	I congratulate all the people of Mizoram, including the Church and its affiliated organisations, the youth and women’s groups, civil society groups and political parties, for this spirit of fraternity and cooperation. Our endeavour must now be to take it forward. And to enhance economic opportunities for the talented young men and women of Mizoram.


 


	The Indian economy is today among the fastest growing in the world. From innovation in agriculture to the digital economy, from manufacturing to the expanding services sector – there are so many good news stories. Young people from Mizoram are very much part of the story. In the IT industry, the hospitality industry and other service sector industries, Mizo boys and girls are making their mark in different corners of the country.


 


	And their work is drawing admiration for Mizoram. There is admiration for the education and literacy skills of young Mizos. A literacy rate of 91 per cent – as per the 2011 census – is truly remarkable. There is also admiration for the values, work ethic and professionalism of young men and women from Mizoram.


 

Friends


	The need is to create more opportunities within Mizoram itself. Like the rest of the Northeast, Mizoram is key to India’s Act East Policy. This will link our Northeastern states to our neighbours in Southeast Asia as well as to other parts of India. That is why the government of India is focusing on infrastructure and connectivity projects in the region. Trade will grow and to everybody’s benefit.


 


	Mizoram has so much to offer. Harnessed appropriately, bamboo can be a wonder crop. With value addition, it can be used to create a variety of products and many, many jobs. Horticulture is another area with huge potential. Mizoram grows pineapples and exotic fruit such as passion fruit. These deserve a much wider market. And they deserve a thriving food processing industry locally, which can combine technology with the amazing traditional skills of the Mizo people. Fisheries is another sunrise sector. Mizo products can flood distant markets.


 


	I am told the state government has undertaken two programmes that have led to appreciable outcomes – the New Land Use Policy and the New Economic Development Policy.


 


	Under the New Land Use Policy the government is providing financial support to less-advantaged sections that seek to move away from shifting cultivation or jhoom cultivation and get into sustainable agriculture, horticulture, sericulture, animal husbandry or other livelihoods.


 


	The New Economic Development Policy is a long-term growth strategy for Mizoram. It has been formulated after the shift in fiscal federalism following the government of India’s implementation of the report of the 14th Finance Commission. This has transferred more tax revenues to the states. Along with the Act East Policy, it opens up opportunities for the state government and the people of Mizoram. In particular, I am encouraged by the efforts to promote entrepreneurship in Mizoram.


 

Friends


	We have a lot of hope in the young people of Mizoram. They will build Mizoram’s future and India’s future. And they are the risk takers, the entrepreneurs and job creators who will shape our destiny.


 


	Young Mizos are our sporting heroes. From hockey to mountaineering, boxing to weight-lifting, Mizos excel nationally and internationally. Of course in football, our Mizo boys and girls are special. In 2011, Mizoram got its first all-weather artificial turf football ground. Within two years, in 2013, the state team had won the Santosh Trophy. In 2015, it won the gold medal in the football event of the National Games.


 


	And just this year, in April 2017, Aizawl Football Club became the first Northeast club to win the I-League. These are great achievements. I am confident Mizoram’s young people can replicate the energy of football in the economy and in entrepreneurship.


 


	On that optimistic note, I will conclude. But before I do, I must wish everybody here a happy and prosperous Festive Season and a Merry Christmas. May you and your families always know joy!


 

God bless you all

Thank you

Jai Hind!

 

*****

 

AKT/SH/SBP

                
                
                (Release ID: 1511252)
                Visitor Counter : 63
                
                
                
                
                    
                
                
                    
                
                
                
                
                
                
                    
                        
                    
                
                
                
                
                    
                        
                        
                    
                
            "
