title,posted,content
,,
"
                        PRESS COMMUNIQUE
                        
                        
                ","
                Posted On:
                25 JUN 2019 7:17PM by PIB Delhi
            ","
                
                    President's Secretariat
                
                
                
                
                
                    
                        PRESS COMMUNIQUE
                        
                        
                
                
            
                Posted On:
                25 JUN 2019 7:17PM by PIB Delhi
            
                
                
                
                
                The President of India is pleased to appoint Shri Padmanabha Balkrishna Acharya, Governor of Nagaland to discharge the functions of the Governor of Manipur, in addition to his own duties, during the absence, on leave, of Dr Najma A. Heptulla, Governor of Manipur.

 

***

AKT/KP/SKS

                
                
                (Release ID: 1575674)
                Visitor Counter : 1082
                
                
                
                
                    
                
                
                    
                
                Read this release in: 
                
                        
                        
                            Urdu 
                    
                        ,
                    
                        
                        
                            Hindi 
                    
                        ,
                    
                        
                        
                            Bengali 
                    
                        ,
                    
                        
                        
                            Punjabi 
                    
                
                
                
                    
                        
                    
                
                
                
                
                    
                        
                        
                    
                
            "
,,
"
                        Address by the President of India Shri Ram Nath Kovind to the Members of both the Houses of Parliament assembled together
                        
                        
                ","
                Posted On:
                20 JUN 2019 12:16PM by PIB Delhi
            ","
                
                    President's Secretariat
                
                
                
                
                
                    
                        Address by the President of India Shri Ram Nath Kovind to the Members of both the Houses of Parliament assembled together
                        
                        
                
                
            
                Posted On:
                20 JUN 2019 12:16PM by PIB Delhi
            
                
                
                
                
                Honourable Members,

1.   I am pleased to address the first joint sitting of Parliament after the election of the 17th Lok Sabha, in the year commemorating the 150th birth anniversary of Mahatma Gandhi. I extend my heartiest congratulations to all newly elected Members of this Lok Sabha. 

2.   More than 61 crore voters of the country set a new record by casting their votes and enhanced the credibility of India’s democracy in the world. People have stood in long queues braving extreme heat to cast their votes. This time, as compared to previous elections, more women have cast their votes and their participation has been almost equal to men. Crores of youth have voted for the first time and played an important role in shaping India’s future. All voters deserve to be congratulated for the success of this election.

3.   I also convey my best wishes to the new Speaker of the Lok Sabha for this new responsibility.

4.   I congratulate the entire team of the Election Commission for successful completion of the world’s largest election. The contribution of employees of several administrative departments and various institutions, as well as the security forces in successful conduct of the electoral process is extremely praiseworthy.

5.   Nearly half of the MPs in this Lok Sabha have been elected for the first time. The election of 78 women MPs which is the highest number in the history of Lok Sabha, presents the picture of a New India.

6.   It is a matter of joy that the reflection of India’s diversity is visible in this joint sitting. People of every age, hailing from villages and cities, belonging to every profession, are members of both the Houses. Many members are associated with social service, many are from the field of agriculture, from business and economic sphere while other members are from the field of education, medical profession which saves the lives of people and legal profession which provides justice to the people. MPs who have made their mark in the world of cinema, art, literature and culture are also present here. I am confident that your unique experiences will contribute to enriching the discussions in Parliament.

Honourable Members,

7.   The people of the country have given a very clear mandate in this election. After assessing the performance of the Government during the first tenure, the people have given even stronger support for the second term. By doing so, the people of the country have given a mandate for continuing uninterrupted and at an accelerated pace the journey of development which started in 2014.

8.   All fellow countrymen are familiar with the atmosphere prevailing in the country before 2014. In order to take the country out of a sense of gloom and instability, the people elected a Government with absolute majority after three decades. Giving the highest regard to that mandate, my Government started to march forward without any discrimination with the mantra of ‘Sabka Saath- Sabka Vikas’, to create a New India.

