title,posted,content
"
                        India’s Cumulative COVID-19 Vaccination Coverage exceeds 207.71 Cr
                        
                        Over 3.97 Cr 1st dose vaccines administered for age group 12-14 yearsIndia's Active caseload currently stands at 1,19,26415,815 new cases reported in the last 24 hoursRecovery Rate currently stands at 98.54%Weekly Positivity Rate is presently at 4.79%
                ","
                Posted On:
                13 AUG 2022 9:47AM by PIB Delhi
            ","
                
                    Ministry of Health and Family Welfare
                
                
                   
                
                    
                        India’s Cumulative COVID-19 Vaccination Coverage exceeds 207.71 Cr
                        
                        Over 3.97 Cr 1st dose vaccines administered for age group 12-14 yearsIndia's Active caseload currently stands at 1,19,26415,815 new cases reported in the last 24 hoursRecovery Rate currently stands at 98.54%Weekly Positivity Rate is presently at 4.79%
                
                
            
                Posted On:
                13 AUG 2022 9:47AM by PIB Delhi
            
                
                
                
                
                India’s COVID-19 vaccination coverage has exceeded 207.71 Cr (2,07,71,62,098) as per provisional reports till 7 am today. This has been achieved through 2,75,92,966 sessions. 

COVID-19 vaccination for the age group 12-14 years was started on 16 March, 2022. So far, more than 3.97 Cr (3,97,17,969) adolescents have been administered with the first dose of COVID-19 vaccine. Similarly, the COVID-19 precaution dose administration for age group 18-59 years also started from 10th April, 2022 onwards. 

The break-up of the cumulative figure as per the provisional report till 7 am today include:

 



	
		
			
			Cumulative Vaccine Dose Coverage
			
		
		
			
			HCWs
			
			
			1st Dose
			
			
			10412972
			
		
		
			
			2nd Dose
			
			
			10098080
			
		
		
			
			Precaution Dose
			
			
			6530107
			
		
		
			
			FLWs
			
			
			1st Dose
			
			
			18432711
			
		
		
			
			2nd Dose
			
			
			17683958
			
		
		
			
			Precaution Dose
			
			
			12696024
			
		
		
			
			Age Group 12-14 years
			
			
			1st Dose
			
			
			39717969
			
		
		
			
			2nd Dose
			
			
			29056266
			
		
		
			
			Age Group 15-18 years
			
			
			1st Dose
			
			
			61444491
			
		
		
			
			2nd Dose
			
			
			51709343
			
		
		
			
			Age Group 18-44 years
			
			
			1st Dose
			
			
			559998781
			
		
		
			
			2nd Dose
			
			
			510788919
			
		
		
			
			Precaution Dose
			
			
			39013299
			
		
		
			
			Age Group 45-59 years
			
			
			1st Dose
			
			
			203787996
			
		
		
			
			2nd Dose
			
			
			195766351
			
		
		
			
			Precaution Dose
			
			
			24104293
			
		
		
			
			Over 60 years
			
			
			1st Dose
			
			
			127508693
			
		
		
			
			2nd Dose
			
			
			122354870
			
		
		
			
			Precaution Dose
			
			
			36056975
			
		
		
			
			Precaution Dose
			
			
			11,84,00,698
			
		
		
			
			Total
			
			
			2,07,71,62,098
			
		
	



 

India’s Active Caseload currently stands at 1,19,264. Active cases now constitute 0.27% of the country's total Positive Cases.

 

Consequently, India’s recovery rate stands at 98.54%. 20,018 patients have recovered in the last 24 hours and the cumulative tally of recovered patients (since the beginning of the pandemic) is now at 4,35,93,112.

 

 

15,815 new cases were reported in the last 24 hours.

 

 

The last 24 hours saw a total of 3,62,802 COVID-19 tests being conducted. India has so far conducted over 87.99 Cr (87,99,00,242) cumulative tests. 

Weekly Positivity Rate in the country currently stands at 4.79% and the Daily Positivity rate is reported to be 4.36%.

 

 

****

MV

HFW/COVID States data/13 Aug 2022/3

                
                
                (Release ID: 1851436)
                Visitor Counter : 313
                
                
                
                
                    
                
                
                    
                
                Read this release in: 
                
                        
                        
                            Urdu 
                    
                        ,
                    
                        
                        
                            Marathi 
                    
                        ,
                    
                        
                        
                            Hindi 
                    
                        ,
                    
                        
                        
                            Manipuri 
                    
                        ,
                    
                        
                        
                            Tamil 
                    
                
                
                
                    
                        
                    
                
                
                
                
                    
                        
                        
                    
                
            "
"
                        Update on COVID-19 Vaccine Availability in States/UTs 
                        
                        More than 198.61 Crore vaccine doses provided to States/UTsMore than 7.17 Crore balance and unutilized vaccine doses still available with States/UTs
                ","
                Posted On:
                13 AUG 2022 9:43AM by PIB Delhi
            ","
                
                    Ministry of Health and Family Welfare
                
                
                   
                
                    
                        Update on COVID-19 Vaccine Availability in States/UTs 
                        
                        More than 198.61 Crore vaccine doses provided to States/UTsMore than 7.17 Crore balance and unutilized vaccine doses still available with States/UTs
                
                
            
                Posted On:
                13 AUG 2022 9:43AM by PIB Delhi
            
                
                
                
                
                The Union Government is committed to accelerating the pace and expanding the scope of COVID-19 vaccination throughout the country. The nationwide COVID 19 vaccination started on 16th January 2021. The new phase of universalization of COVID-19 vaccination commenced from 21st June 2021. The vaccination drive has been ramped up through availability of more vaccines, advance visibility of vaccine availability to States and UTs for enabling better planning by them, and streamlining the vaccine supply chain.  

As part of the nationwide vaccination drive, Government of India has been supporting the States and UTs by providing them COVID Vaccines free of cost. In the new phase of the universalization of the COVID19 vaccination drive, the Union Government will procure and supply (free of cost) 75% of the vaccines being produced by the vaccine manufacturers in the country to States and UTs. 


	
		
			
			 

			VACCINE DOSES
			
			
			 

			(As on 13th Aug 2022)
			
		
		
			
			 

			SUPPLIED
			
			
			 

			1,98,61,41,995
			
		
		
			
			 

			BALANCE AVAILABLE

			 
			
			
			 

			7,17,26,040
			
		
	


 

More than 198.61 crore (1,98,61,41,995) vaccine doses have been provided to States/UTs so far through Govt. of India (free of cost channel) and through direct state procurement category. 

