title,posted,content
"
                        President of India Launches Endowment Fund of Indian Institute of Technology Delhi 
                        
                        
                ","
                Posted On:
                31 OCT 2019 6:43PM by PIB Delhi
            ","
                
                    President's Secretariat
                
                
                
                
                
                    
                        President of India Launches Endowment Fund of Indian Institute of Technology Delhi 
                        
                        
                
                
            
                Posted On:
                31 OCT 2019 6:43PM by PIB Delhi
            
                
                
                
                
                The President of India, Shri Ram Nath Kovind, launched Endowment Fund of Indian Institute Technology Delhi at Rashtrapati Bhavan today (October 31, 2019). 

Speaking on the occasion, the President said that endowments globally have become integral to the financial health of educational institutions over time. While we are still far from the size and importance of endowment funds of Institutions such as Harvard, Yale or Columbia, it is the right first step in this direction. By giving through endowments, alumni are not just giving to their institution but they are also supporting and nurturing future generations of learners.

The President said that the best way to honour a gift is to make the best use of it. In the latest QS World University ranking 2020, IIT Delhi was ranked at 182. There is a lot of scope for improvement if it aims to be one of the top institutes in the world. It needs to increase the number of faculty particularly faculty with international experience. Additionally, it needs to upgrade its infrastructure to ensure its campus, course content and research facilities are completely world class. He expressed hope the institute will make use of the valuable contribution from the alumni to bring changes in these areas.

The President said that throughout history our educational institutes have been the beacons of our culture. We have a tradition of universities showing the way for the people in society and enriching lives. He urged all to devote some amount of their time for the benefit of the not-so-fortunate sections of society by picking up any cause of their choice. He said that it can be the empowerment of the divyang, or rehabilitation of destitute women, or helping children in distress. The cause does not matter, only their will to make a difference does.

Click here to see President speech

******

 

VRRK/SH/AK

                
                
                (Release ID: 1589839)
                Visitor Counter : 782
                
                
                
                
                    
                
                
                    
                
                Read this release in: 
                
                        
                        
                            Urdu 
                    
                        ,
                    
                        
                        
                            Hindi 
                    
                
                
                
                    
                        
                    
                
                
                
                
                    
                        
                        
                    
                
            "
"
                        Officer Trainees of Indian Information Service Call on the President
                        
                        
                ","
                Posted On:
                31 OCT 2019 2:15PM by PIB Delhi
            ","
                
                    President's Secretariat
                
                
                
                
                
                    
                        Officer Trainees of Indian Information Service Call on the President
                        
                        
                
                
            
                Posted On:
                31 OCT 2019 2:15PM by PIB Delhi
            
                
                
                
                
                A group of officer trainees of the Indian Information Service (2018 batch) called on the President of India, Shri Ram Nath Kovind, today (October 31, 2019) at Rashtrapati Bhavan. 

Addressing the officer trainees, the President said that as officers of Indian Information Service, they play a versatile role in not only dissemination of information but also in checking its veracity and collating it for a meaningful purpose. In this era of dumbing down of information, they need to emerge as providers of positive information, that is, information which is useful and relevant for people and society. This is in addition to their role as Information Gate Keepers and Information Enablers. 

The President said that through public outreach and communication, IIS officers can educate people about different welfare schemes and policies. All of them have the skills and ability to make these welfare schemes and policies comprehensible, relevant, real and actionable for the people at the last mile. Thus, they play an important role in ensuring people’s participation which is most critical to the success of any programme. 

The President urged IIS officers to develop strong professional networks with the media community, so that they can disseminate correct information concerning issues of public importance and check misinformation. He said that by doing so they would be able to ensure that the government’s outreach and communication with people shall remain relevant, timely, practical and effective.

Please See the President Speech

***

VRRK/SH/AK

                
                
                (Release ID: 1589711)
                Visitor Counter : 521
                
                
                
                
                    
                
                
                    
                
                Read this release in: 
                
                        
                        
                            Urdu 
                    
                        ,
                    
                        
                        
                            Hindi 
                    
                
                
                
                    
                        
                    
                
                
                
                
                    
                        
                        
                    
                
            "
"
                        President of India pays floral tributes to Sardar Vallabhbhai Patel on his birth anniversary
                        
                        
                ","
                Posted On:
                31 OCT 2019 12:43PM by PIB Delhi
            ","
                
                    President's Secretariat
                
                
                
                
                
                    
                        President of India pays floral tributes to Sardar Vallabhbhai Patel on his birth anniversary
                        
                        
                
                
            
                Posted On:
                31 OCT 2019 12:43PM by PIB Delhi
            
                
                
                
                
                The President of India, Shri Ram Nath Kovind, paid floral tributes to Sardar Vallabhbhai Patel on his birth anniversary at Rashtrapati Bhavan today (October 31, 2019). Officers and staff of Rashtrapati Bhavan also paid their tributes in front of a portrait of Sardar Vallabhbhai Patel.

Earlier this morning, the President visited Sardar Patel Chowk in New Delhi to pay homage before the statue of Sardar Vallabhbhai Patel.

 

***

VRRK/KP/AK

                
                
                (Release ID: 1589693)
                Visitor Counter : 469
                
                
                
                
                    
                
                
                    
                
                Read this release in: 
                
                        
                        
                            Urdu 
                    
                        ,
                    
                        
                        
                            Hindi 
                    
                        ,
                    
                        
                        
                            Marathi 
                    
                        ,
                    
                        
                        
                            Bengali 
                    
                
                
                
                    
                        
                    
                
                
                
                
                    
                        
                        
                    
                
            "
"
                        Probationers of the Indian Revenue Service (Customs and Central Excise) Call on the President 
                        
                        
                ","
                Posted On:
                30 OCT 2019 6:10PM by PIB Delhi
            ","
                
                    President's Secretariat
                
                
                
                
                
                    
                        Probationers of the Indian Revenue Service (Customs and Central Excise) Call on the President 
                        
                        
                
                
            
                Posted On:
                30 OCT 2019 6:10PM by PIB Delhi
            
                
                
                
                
                A group of probationers of 69th batch of Indian Revenue Service (Customs and Central Excise) called on the President of India, Shri Ram Nath Kovind, today (October 30, 2019) at Rashtrapati Bhavan.

Addressing the probationers, the President said that boundaries of nations are opening up to greater economic cooperation. On the other hand, economic challenges are also making boundaries more crucial. IRS officers are going to be the guardians of our economic frontiers.

The President said that with the objective of making the country more self-reliant, the government has launched the Make in India initiative. IRS officers’ role with respect to it is that tax administrators should strive to provide an environment within which trade and industry can thrive. Their motto with respect to international trade should be: ‘Border divides, Customs connect’. This will help transform India to a 5 trillion dollar economy. 

*****

 VRRK/SH

                
                
                (Release ID: 1589616)
                Visitor Counter : 378
                
                
                
                
                    
                
                
                    
                
                Read this release in: 
                
                        
                        
                            Hindi 
                    
                
                
                
                    
                        
                    
                
                
                
                
                    
                        
                        
                    
                
            "
"
                        Address by the Hon’ble President of India Shri Ram Nath Kovind on the occasion of call on by the Probationers of 69th Batch of Indian Revenue Service (Customs & Central Excise)
                        
                        
                ","
                Posted On:
                30 OCT 2019 6:07PM by PIB Delhi
            ","
                
                    President's Secretariat
                
                
                
                
                
                    
                        Address by the Hon’ble President of India Shri Ram Nath Kovind on the occasion of call on by the Probationers of 69th Batch of Indian Revenue Service (Customs & Central Excise)
                        
                        
                
                
            
                Posted On:
                30 OCT 2019 6:07PM by PIB Delhi
            
                
                
                
                
                
	I extend to all of you a warm welcome to Rashtrapati Bhavan. I am happy to meet you, the probationers of the Indian Revenue Service–Customs and Central Excise. I congratulate you on your success in a highly competitive examination, and subsequent selection to the all-important Revenue Service.



	Revenue of the state is the energy that fuels the running of the state. It is the very foundation of governance, and its importance cannot be overstated. 



	This is true not only of the modern state. We have a rich knowledge base on taxation. Chanakya’s Arthashastra has practical wisdom on the topic, and so does the Mahabharata. Chanakya says, “Taxation should not be a painful process for the people. There should be leniency and caution while deciding the tax structure. Ideally, the government should collect taxes like a honeybee which sucks just the right amount of honey from the flower so that both can survive.” Our great epic Mahabharata narrates how Yudhishthir went to Bhishma for advice on governance. The veteran statesman says, “No one likes to pay tax, but the king should make them aware of the national priorities for which funds are needed.” He also tells Yudhishthir that the king should ensure tax compliance. In our times, the state has to ensure compliance, and that is your job.



	The IRS offers tremendous opportunities to discharge your duties, be it as a tax administrator, a law enforcement official, a government pleader, a research analyst, a faculty member, or on any other critical assignments.
	I am told that you contribute nearly 47 percent of the total revenue to the government exchequer. Your contribution enables the country to spend resources for economic development and creation of various infrastructures, for a variety of socio-economic schemes, and for education and health services.



	With increasing globalisation coupled with the spread of the information technology, the world is changing fast. Boundaries of nations are opening up to greater economic cooperation. On the other hand, economic challenges are also making boundaries more crucial. You are going to be the guardians of our economic frontiers.
	Within those frontiers, with the objective of making the country more self-reliant, the government has launched the Make in India initiative. Your role with respect to it is that tax administrators should strive to provide an environment within which trade and industry can thrive. 



	Your motto with respect to international trade should be: ‘Border divides, Customs connect’. This will help transform India to a 5 trillion dollar economy. Just as customs connects the global trade fraternity, the GST connects the nation as one with one tax.



	GST is also a major economic reform which is in tune with the international tax administration regime. In implementation of the GST, you have the advantage of your age and a beginner’s mind set. Since you are in learning mode, I expect that you will look at current processes and persistent problems with fresh eyes, and come up with innovations and solutions. That will be a great service to the nation.



	Technology is, of course, an area where the young have an edge over the experienced. The government is making great use of technology to make tax collection more efficient and less intrusive. I am sure you will put your technology skills to good use and consolidate such initiatives.



	As you are about to begin your career, allow me to share a pertinent point with you. In various services of the government, the probationers make an extra effort to prove themselves. You try to be conscious about honesty and integrity and remain concerned about your commitment and dedication to people. You are invariably on alert against any errors. But once you get confirmed in the service, there is a risk of slackness and human weakness setting in, for asking small favours as a part of the privileges of the service. My advice to all of you is, you should never come out of the probationer’s mind set, maintain your integrity and honesty and guard against any laxity.



	I am confident that you will serve the nation as a disciplined officer but I also hope each of you will strive to become a good individual with high morals of whom the nation and family will be proud. I wish you all the very best for the future.


 

Thank you,

Jai Hind!

****

 

 VRRK/SH

                
                
                (Release ID: 1589615)
                Visitor Counter : 379
                
                
                
                
                    
                
                
                    
                
                Read this release in: 
                
                        
                        
                            Urdu 
                    
                
                
                
                    
                        
                    
                
                
                
                
                    
                        
                        
                    
                
            "
"
                        President of India graces Annual Convocation of Jamia Millia Islamia
                        
                        
                ","
                Posted On:
                30 OCT 2019 2:52PM by PIB Delhi
            ","
                
                    President's Secretariat
                
                
                
                
                
                    
                        President of India graces Annual Convocation of Jamia Millia Islamia
                        
                        
                
                
            
                Posted On:
                30 OCT 2019 2:52PM by PIB Delhi
            
                
                
                
                
                The President of India, Shri Ram Nath Kovind, graced and addressed the annual convocation of Jamia Millia Islamia in New Delhi today (October 30, 2019).

Speaking on the occasion, the President said that government has been making changes in education eco-system to adapt it to contemporary challenges. One of the important objectives of the 'National Education Policy' proposed by the Ministry of Human Resource Development is to establish India as a 'knowledge super power'. The whole world is aware of the immense talent of the students of India. All educational institutions in the country have to contribute to make proper use of this talent. Special contributions are expected from prestigious institutions like 'Jamia'.

The President said that in order to connect every section of the society with development, University’s Social Responsibility (USR) like Corporate Social Responsibility (CSR) needs to be emphasized. He noted that Jamia has adopted five villages under the ‘Unnat Bharat Abhiyan’. He asked Jamia if it can adopt some more villages. He said that while working for this campaign, students should go to those villages and try to understand their issues. They should make villagers aware of the schemes like cleanliness of the village, literacy, vaccination of all children and nutrition. He said that students should also provide villagers information about Central and State Government schemes. Such efforts would help the weaker sections of the society and increase students' awareness and sensitivity towards rural areas, the President pointed out. 

Among the dignitaries present on the occasion were Shri Ramesh Pokhriyal ‘Nishank’, Union Minister for Human Resource Development and Dr Najma Heptualla, Governor of Manipur and Chancellor of Jamia Millia Islamia. 

Hindi Speech link attached here

***

VRRK/SH/AK

                
                
                (Release ID: 1589550)
                Visitor Counter : 550
                
                
                
                
                    
                
                
                    
                
                Read this release in: 
                
                        
                        
                            Urdu 
                    
                        ,
                    
                        
                        
                            Hindi 
                    
                        ,
                    
                        
                        
                            Bengali 
                    
                
                
                
                    
                        
                    
                
                
                
                
                    
                        
                        
                    
                
            "
"
                        Officer trainees of Indian Police Service call on the President
                        
                        
                ","
                Posted On:
                29 OCT 2019 6:30PM by PIB Delhi
            ","
                
                    President's Secretariat
                
                
                
                
                
                    
                        Officer trainees of Indian Police Service call on the President
                        
                        
                
                
            
                Posted On:
                29 OCT 2019 6:30PM by PIB Delhi
            
                
                
                
                
                A group of officer trainees of the 71 RR (2018 batch) of the Indian Police Service called on the President of India, Shri Ram NathKovind, today (October 29, 2019) at RashtrapatiBhavan.

Speaking on the occasion, the President said that Rule of Law is the cornerstone of the modern state; and as an enforcer of law, the Indian Police Service has a vital role to play. The entire spectrum of governance stems from Rule of Law. It has paramount importance especially in a democratic polity, where it ensures that all citizens are indeed equal. Indian Police Officers’ task ahead, then, is to enforce the law and thus uphold the very principles of democracy.

The President said that given the great responsibility on the IPS Officers’ shoulders, it is natural that people associate authority and aura with the uniformed service. He expressed confidence that they will leverage this honour for the IPS in society to check the misuse of law and instil a sense of security in the common man, while also respecting human rights of all. He said that the nation also expects their sincere commitment and professionalism to meet the challenges of internal security posed by the emergent threats of terrorism, extremism and insurgency.

 

***

 

VRRK/SH/AK

                
                
                (Release ID: 1589485)
                Visitor Counter : 829
                
                
                
                
                    
                
                
                    
                
                Read this release in: 
                
                        
                        
                            Urdu 
                    
                        ,
                    
                        
                        
                            Hindi 
                    
                
                
                
                    
                        
                    
                
                
                
                
                    
                        
                        
                    
                
            "
"
                        Address by the Hon’ble President of India Shri Ram Nath Kovind on the occasion of call on by the officers trainees of 71 RR (2018 batch) of Indian Police Service
                        
                        
                ","
                Posted On:
                29 OCT 2019 6:28PM by PIB Delhi
            ","
                
                    President's Secretariat
                
                
                
                
                
                    
                        Address by the Hon’ble President of India Shri Ram Nath Kovind on the occasion of call on by the officers trainees of 71 RR (2018 batch) of Indian Police Service
                        
                        
                
                
            
                Posted On:
                29 OCT 2019 6:28PM by PIB Delhi
            
                
                
                
                
                
	I am happy to welcome all of you, the officer trainees of the Indian Police Service, to Rashtrapati Bhavan. I also congratulate you on your success in the highly competitive examination and your selection in the Indian Police Service.



