title,posted,content
"
                        President of India Graces 33rd Convocation of Ranchi University; Urges Universities to Contribute towards Universities' Social Responsibility
                        
                        
                ","
                Posted On:
                30 SEP 2019 2:36PM by PIB Delhi
            ","
                
                    President's Secretariat
                
                
                
                
                
                    
                        President of India Graces 33rd Convocation of Ranchi University; Urges Universities to Contribute towards Universities' Social Responsibility
                        
                        
                
                
            
                Posted On:
                30 SEP 2019 2:36PM by PIB Delhi
            
                
                
                
                
                
The President of India, Shri Ram Nath Kovind, graced and addressed the 33rd convocation of Ranchi University in Ranchi, Jharkhand today (September 30, 2019). 

Speaking on the occasion, the President said that Jharkhand is home to 40 per cent of the country’s mineral reserves. Many big public and private sector industries are established in the state. There are many tourists’ attractions in Jharkhand. The state has also many good educational institutions. On the strength of many such characteristics of Jharkhand and the talent of youth, it has potential to become a developed state. 

The President noted that Ranchi University has established Department of Ethnic and Regional Languages in 1980 to preserve and promote languages and culture of Jharkhand. At present five tribal languages - Kudukh, Mundari, Santhali, Ho and Kharia - are taught in the University. He said that the knowledge of tribal languages and cultures should be used to connect with the community and for development. We should learn from the tribal communities to meet our needs in harmony with nature. He said that the Ranchi University could make multi-dimensional contribution by encouraging research on tribal culture and civilization.

The President said that universities should contribute towards Universities' Social Responsibility (USR). At least five students from each university should go to nearby villages at an interval of about two months, and if possible, stay there at night and interact with the villagers. They should communicate with the villagers about welfare and development schemes of the central and state government. He urged Ranchi University to pay special attention to USR.

 
Click here to see the President's speech in Hindi 

 

 

*****

VRRK/VJ/BM 

                
                
                (Release ID: 1586685)
                Visitor Counter : 521
                
                
                
                
                    
                
                
                    
                
                Read this release in: 
                
                        
                        
                            Urdu 
                    
                        ,
                    
                        
                        
                            Hindi 
                    
                        ,
                    
                        
                        
                            Marathi 
                    
                        ,
                    
                        
                        
                            Bengali 
                    
                
                
                
                    
                        
                    
                
                
                
                
                    
                        
                        
                    
                
            "
"
                        President of India Presents Colours to Corps of Army Air Defence
                        
                        
                ","
                Posted On:
                28 SEP 2019 3:18PM by PIB Delhi
            ","
                
                    President's Secretariat
                
                
                
                
                
                    
                        President of India Presents Colours to Corps of Army Air Defence
                        
                        
                
                
            
                Posted On:
                28 SEP 2019 3:18PM by PIB Delhi
            
                
                
                
                
                The President of India, Shri Ram Nath Kovind, presented Colours to Corps of Army Air Defence today at Gopalpur, Odisha (September 28, 2019). 

Speaking on the occasion, the President paid homage to the martyrs of the Corps of Army Air Defence. He said that their sacrifice has secured our sovereignty, brought glory to our Nation and protected our people. He congratulated all veterans and serving soldiers of the Corps for their stupendous performance. He said that they have been true force multipliers in the most inhospitable terrain and climatic conditions in the world. The Indian Army and the Nation is proud of them.

Click here to see speech

*****

VRRK/VJ

                
                
                (Release ID: 1586549)
                Visitor Counter : 781
                
                
                
                
                    
                
                
                    
                
                Read this release in: 
                
                        
                        
                            Urdu 
                    
                        ,
                    
                        
                        
                            Hindi 
                    
                        ,
                    
                        
                        
                            Marathi 
                    
                
                
                
                    
                        
                    
                
                
                
                
                    
                        
                        
                    
                
            "
"
                        President of India to visit Odisha, Jharkhand and west Bengal from September 27 to October 1
                        
                        
                ","
                Posted On:
                26 SEP 2019 9:00PM by PIB Delhi
            ","
                
                    President's Secretariat
                
                
                
                
                
                    
                        President of India to visit Odisha, Jharkhand and west Bengal from September 27 to October 1
                        
                        
                
                
            
                Posted On:
                26 SEP 2019 9:00PM by PIB Delhi
            
                
                
                
                
                The President of India, Shri Ram NathKovind, will visit Odisha, Jharkhand and West Bengal from September 27 to October 1, 2019. 

On September 28, 2019, the President will present Colours to Corps of Army Air Defence at Gopalpur, Odisha.

On September 29, 2019, the President will visit Vikas Bharti, Bishunpur, Gumla in Jharkhand.

On September 30, 2019, the President will grace the 33rd convocation of Ranchi University.

On October 1, 2019, the President will visit the National Institute for Locomotor Disabilities in Kolkata, West Bengal.

 

***

 

VRRK/SH/VK

                
                
                (Release ID: 1586366)
                Visitor Counter : 886
                
                
                
                
                    
                
                
                    
                
                Read this release in: 
                
                        
                        
                            Urdu 
                    
                        ,
                    
                        
                        
                            Hindi 
                    
                
                
                
                    
                        
                    
                
                
                
                
                    
                        
                        
                    
                
            "
"
                           President of India Graces The Foundation Day Celebrations of CSIR, Says The True Test of Scientific Research Lies in Its ability to help our Society Accelerate Socio-Economic Development
                        
                        
                ","
                Posted On:
                26 SEP 2019 6:59PM by PIB Delhi
            ","
                
                    President's Secretariat
                
                
                
                
                
                    
                           President of India Graces The Foundation Day Celebrations of CSIR, Says The True Test of Scientific Research Lies in Its ability to help our Society Accelerate Socio-Economic Development
                        
                        
                
                
            
                Posted On:
                26 SEP 2019 6:59PM by PIB Delhi
            
                
                
                
                
                The President of India, Shri Ram Nath Kovind, graced the Foundation Day Celebrations of the Council of Scientific & Industrial Research (CSIR) in New Delhi today (September 26, 2019).  

Speaking on the occasion, the President said that the true test of scientific research lies in its ability to help our society accelerate socio-economic development in various areas of human life such as health and hygiene, sanitation, education and agriculture. In the long run, this ability depends on the extent to which the culture of scientific research and innovation permeates our society, institutions and enterprises. 

The President said that science and technology is one of the key levers to achieve our national goals and to address the larger concerns confronting humanity today. We have set ourselves a goal of becoming a 5-trillion dollar economy by 2025. We are committed to achieving Sustainable Development Goals. We also wish to play our role in addressing global concerns such as climate change. To a great extent, our success in meeting these challenges would depend on our ability to find creative solutions based in scientific research. 

The President said that through innovation our entrepreneurs can become solution providers to many of our challenges. Their success will determine our economic future and our growth trajectory. Our academic and scientific institutions, industry and entrepreneurs must collaborate to ensure that scientific research can move from labs to our industry, agricultural fields, incubation centres and start-ups. 

The President said that the scientific community, academic institutions and industry are aware of the uncertainty and risks which are inherent to scientific research, innovation and entrepreneurship. He urged them to embrace that uncertainty and take that calculated risk. He said that there lies the possibility of developing truly transformative technologies and innovations that can help fulfil our goals as a nation, as humanity and as a planet. 

*****

VRRK/SH/BM

                
                
                (Release ID: 1586345)
                Visitor Counter : 679
                
                
                
                
                    
                
                
                    
                
                Read this release in: 
                
                        
                        
                            Urdu 
                    
                        ,
                    
                        
                        
                            Hindi 
                    
                
                
                
                    
                        
                    
                
                
                
                
                    
                        
                        
                    
                
            "
"
                        Address by the hon’ble President of India Shri Ram Nath Kovind on the occasion of 78th foundation day celebrations of the council of scientific and industrial research (CSIR)
                        
                        
                ","
                Posted On:
                26 SEP 2019 6:57PM by PIB Delhi
            ","
                
                    President's Secretariat
                
                
                
                
                
                    
                        Address by the hon’ble President of India Shri Ram Nath Kovind on the occasion of 78th foundation day celebrations of the council of scientific and industrial research (CSIR)
                        
                        
                
                
            
                Posted On:
                26 SEP 2019 6:57PM by PIB Delhi
            
                
                
                
                
                
	I am happy to be amongst you all on the occasion of the 78th Foundation Day of the Council of Scientific and Industrial Research. I fondly recollect attending CSIR’s platinum jubilee celebrations two years ago. With each passing year this apex science and technology institution seems to be getting stronger and contributing more and more to our nation’s development. I congratulate the entire CSIR fraternity as well as all the scientists who are being awarded today.


 


	CSIR is known for its cutting edge R&D in diverse areas. Its work covers a wide spectrum of science and technology. More importantly, CSIR has helped improve quality of life of our fellow citizens and aided business and industry with specific science and technology applications. Across different areas such as food and agriculture, generic drugs, leather, chemicals, several technologies developed by you have been embraced by the market. CSIR occupies a key place in India’s scientific space. 


 

Ladies and Gentlemen,


	The true test of scientific research lies in its ability to help our society accelerate socio-economic development in various areas of human life such as health and hygiene, sanitation, education and agriculture. In the long run, this ability depends on the extent to which the culture of scientific research and innovation permeates our society, institutions and enterprises.


 


	Science and technology is one of the key levers to achieve our national goals and to address the larger concerns confronting humanity today. We have set ourselves a goal of becoming a 5-trillion dollar economy by 2025. We are committed to achieving Sustainable Development Goals. We also wish to play our role in addressing global concerns such as climate change. To a great extent, our success in meeting these challenges would depend on our ability to find creative solutions based in scientific research. In this regard, your work has benefited society in ways that are not always known to many. For instance, I am told that through its interventions, CSIR contributed its bit in saving precious lives during cyclone Fani that hit Odisha earlier this year.


 

Ladies and Gentlemen, 


	India is blessed with a youthful population that should be motivated to learn, imbibe and adopt science and innovation. I am happy to learn that CSIR provides a large number of doctoral and post-doctoral research fellowships. The “Jigyasa” program of CSIR is connecting students to scientists and igniting the scientific spirit in school students all across the country. I am told that in the past year alone thousands of school students have visited CSIR’s R&D labs spread across the country.


 


	Initiatives such as Skill India, Start Up India and Stand Up India are aimed at releasing and realising the entrepreneurial power of India. Through innovation our entrepreneurs can become solution providers to many of our challenges. Their success will determine our economic future and our growth trajectory. Our academic and scientific institutions, industry and entrepreneurs must collaborate to ensure that scientific research can move from labs to our industry, agricultural fields, incubation centres and start-ups. 


 


	Today, Dr Harsh Vardhan presented to me the Fuel Cell Prototype that has been developed by CSIR labs in collaboration with Industry. I understand that this is the first indigenous prototype and the fuel cells use hydrogen to produce electricity. It has possible use for distributed power supply and e-mobility applications. This is an example of how scientific institutions can connect with industry and business for the benefit of society.


 


	The scientific community, academic institutions and industry are aware of the uncertainty and risks which are inherent to scientific research, innovation and entrepreneurship. I urge you to embrace that uncertainty and take that calculated risk. There lies the possibility of developing truly transformative technologies and innovations that can help fulfil our goals as a nation, as humanity and as a planet.


 

Ladies and Gentlemen,


	I must point out here that none of our successes will have any meaning without equal opportunities for our girl-children. As President, I get an opportunity to attend convocations of Universities and academic institutions across the country. In most of these convocations, I find that our girl students outshine the boys, winning most of the academic awards. Recently, Project Director of Chandrayaan-2 mission, M Vanitha and its Mission Director Ritu Karidhal became household names. 


 


	Yet on a broader level, the participation of women in science in our country is far from satisfactory. We have to take the necessary steps to ensure greater participation of girl students and of women in science and technology. When this happens, our scientific achievements will become even more wholesome and more desirable. 


 


	The purpose of education, in its very essence, is to make us a well-rounded personality, a good human being and society. We must develop interest in a range of subjects beyond our own. A good scientist will become a better scientist with some knowledge of social sciences and liberal arts. Similarly, a student of humanities will gain from an appreciation of science. As academic institutions and as individual students we need to appreciate this and take measures to broad-base our education.  


 

Ladies and Gentlemen,


	We live in a world where technology surrounds us and dazzles us. Technological products and applications are changing our lives every moment. Space travel is no longer a distant dream, Artificial Intelligence and robotics are no longer science fiction, 3D printers have entered our homes and driverless cars are set to dominate our roads. The relationship between human and machine is evolving before our eyes. Indeed this is all exciting but let it not divert our attention from basic science research. For that remains fundamentally important.


 


	We look to CSIR to help us navigate and adapt to this new technological-world as well as to strengthen our basic scientific research. I am confident that CSIR will continue to work on new technologies as well as basic research relevant to our developmental goals.


 


	I convey my best wishes to CSIR and its community of scientists. May you continue your illustrious journey in the service of science and society. 


 

Thank You,

Jai Hind!

*****

VRRK/SH/BM

                
                
                (Release ID: 1586343)
                Visitor Counter : 557
                
                
                
                
                    
                
                
                    
                
                Read this release in: 
                
                        
                        
                            Urdu 
                    
                
                
                
                    
                        
                    
                
                
                
                
                    
                        
                        
                    
                
            "
"
                        President of India Inaugurates Seminar of Spirituality for Human and Social Development  
                        
                        
                ","
                Posted On:
                26 SEP 2019 3:03PM by PIB Delhi
            ","
                
                    President's Secretariat
                
                
                
                
                
                    
                        President of India Inaugurates Seminar of Spirituality for Human and Social Development  
                        
                        
                
                
            
                Posted On:
                26 SEP 2019 3:03PM by PIB Delhi
            
                
                
                
                
                The President of India, Shri Ram Nath Kovind, inaugurated a seminar on ‘Spirituality for Human and Social Development’ today (September 26, 2019) in New Delhi. This seminar is being organised by the Ahimsa Vishwa Bharti to mark the 150th birth anniversary of Mahatma Gandhi. 

Speaking on the occasion, the President said that Mahatma Gandhi had understood very well that emphasis on spiritual values is essential for establishment of peace and non-violence in the world. He made it clear that the uplift human society is only possible on the foundation of truth, non-violence, peace and harmony. These thoughts of Gandhiji are relevant even today, and will remain relevant in future as well. 

The President said that Gandhian values are relevant to address a range of contemporary issues our world is facing, such as terrorism, violence, corruption, immorality, discrimination based on - religion, race, language, -  and climate-change. The global community will benefit from following the path shown by Gandhiji.  

The President said that youth comprise 65 percent of our population. Connecting them to Gandhiji's ideals will help create a better society. He urged Ahimsa Vishwa Bharati to ensure maximum participation of youth in their programmes.   

 

Click here to see the President's speech in Hindi

***

VRRK/SH/SKS

                
                
                (Release ID: 1586259)
                Visitor Counter : 720
                
                
                
                
                    
                
                
                    
                
                Read this release in: 
                
                        
                        
                            Urdu 
                    
                        ,
                    
                        
                        
                            Marathi 
                    
                        ,
                    
                        
                        
                            Hindi 
                    
                        ,
                    
                        
                        
                            Bengali 
                    
                
                
                
                    
                        
                    
                
                
                
                
                    
                        
                        
                    
                
            "
"
                        President of India presents National Service Scheme Awards
                        
                        
                ","
                Posted On:
                24 SEP 2019 3:29PM by PIB Delhi
            ","
                
                    President's Secretariat
                
                
                
                
                
                    
                        President of India presents National Service Scheme Awards
                        
                        
                
                
            
                Posted On:
                24 SEP 2019 3:29PM by PIB Delhi
            
                
                
                
                
                The President of India, Shri Ram Nath Kovind, presented the National Service Scheme (NSS) Awards for 2017-18 to universities, NSS units and NSS volunteers at Rashtrapati Bhavan today (September 24, 2019) New Delhi.

 

*****

VRRK/SH

 

                
                
                (Release ID: 1586008)
                Visitor Counter : 978
                
                
                
                
                    
                
                
                    
                
                Read this release in: 
                
                        
                        
                            Urdu 
                    
                        ,
                    
                        
                        
                            Hindi 
                    
                
                
                
                    
                        
                    
                
                
                
                
                    
                        
                        
                    
                
            "
"
                        Address by the Hon’ble President of India Shri Ram Nath Kovind
                        
                        At the Inaugural Session of the India Water Week -2019
                ","
                Posted On:
                24 SEP 2019 1:39PM by PIB Delhi
            ","
                
                    President's Secretariat
                
                
                
                
                
                    
                        Address by the Hon’ble President of India Shri Ram Nath Kovind
                        
                        At the Inaugural Session of the India Water Week -2019
                
                
            
                Posted On:
                24 SEP 2019 1:39PM by PIB Delhi
            
                
                
                
                
                 


	I am happy to inaugurate the 6th India Water Week-2019 being attended by a large number of delegates and stakeholders from within the country and across the globe. I am sure that all of you will engage in meaningful discussion and help find effective ideas and innovative solutions to address water-related issues in India.


 

Ladies and Gentlemen,


	I pose a question to all of you. Can we imagine life without water? We all will say ‘No’. Our Vedas have highlighted its importance. I quote a few words from Yajurveda:


 

आपो हिष्ठा मयो भुवः,

स्था न ऊर्जे दधातन......

यो वः शिवतमो रसः।

 

Broadly, it translates to:  Water is the life-giver on earth. It is a great source of energy. It is the most beneficial elixir.

 


	Over the ages, great civilizations and cities flourished alongside mighty rivers. Be it the Indus Valley, Egyptian, or Chinese Civilizations or be it Varanasi, Madurai, Paris, or Moscow, they all grew next to rivers. Where there was water, humanity thrived and survived. In the present times, we humans search for water as distant as the moon. At the same time, we have been negligent in preserving water resources on our own planet. When a child is born, the parents start planning for his or her future. We start saving for their future needs of education and so on. But do we ever think that our child would need fresh and clean water for his or her survival? We owe it to our future generations to make water conservation a priority. Many efforts for this cause are underway across the world. India Water Week too is one such notable effort. 


 


	The theme of this edition of India Water Week is ‘Water Cooperation – Coping with 21st Century Challenges’. Indeed, cooperation between different stakeholders is critical, if we are to face the challenges concerning water effectively. Water issues are too multi-faceted and complex to be solved by only the government or just one nation. All nations and their water communities have to come together to help build a water sustainable future for all. 


 


	Research suggests that about 40 per cent of the world’s population lives in water-stressed areas. Climate change and related environmental concerns have made provision of safe and clean drinking water even more challenging. Despite the challenges, I am happy to note that the Government of India has made provision of safe and clean drinking water to citizens one of its primary goals. 


 


	To ensure better water governance and improved sanitary conditions, the Government merged several departments related to water and sanitation into a new integrated Ministry of Jal Shakti. Now, this Ministry will provide a single-window system for all water-related issues, ensuring speedier and effective solutions.


 

Ladies and Gentlemen,


	I also appreciate the Government for envisaging the Jal Jeevan Mission, which plans to supply water to every rural household by 2024. This is a bold and ambitious Mission as presently only about 18 per cent of rural households in India get piped water supply. This Mission will focus on integrated demand and supply side management of water at the local level. It will create infrastructure for rainwater harvesting, ground-water recharge and management of household waste-water. I am confident that with widespread people’s participation, the Government will be able to achieve the Mission’s goal.


 


	Water is a key resource for our farmers and for sustainable agriculture. The Pradhan Mantri Krishi Sinchayee Yojana which was launched in 2015, is a major initiative for this sector. This nation-wide scheme is being implemented to increase the irrigated area in the country. Consistent with our water conservation goals, the scheme also envisages adoption of precision-irrigation and water saving technologies to ensure “More Crop-Per Drop”. We often talk of reducing our “carbon-footprint”. It is time we talk of reducing our “water-footprint” as well. Our farmers, corporate leaders and government bodies need to actively consider the “water-footprint’’ of different crops and industries. We need to encourage agricultural and industrial practices that have the least water-footprint.   


 


	Managing and mapping ground-water resources is also an important aspect of water governance. The widespread use of boring machines has led to unregulated and excessive exploitation of ground-water. We have to value our ground-water and be responsible. Moreover, we need to document our ground-water resources. I am told that under our National Aquifer Mapping Program, we have so far, mapped over a million square kilo meters, while another 1.5 million will be mapped by March 2021.


 


	We have to ensure that our precious rainwater does not get wasted. We need to store and capture our rainwater by utilizing our existing reservoirs, dams, other water bodies and by adopting water harvesting measures in our homes and neighbourhoods. Water scarcity and drought situation faced by many of our states can be greatly mitigated with effective rainwater harvesting. 


 

Ladies and Gentlemen,


	India is blessed with a number of rivers. These rivers form an integral part of our lives and culture. We worship them and we hold them in high regard. Yet, today our rivers are polluted. It is time we come together to rejuvenate them.


 


	Here, I must appreciate the Government of India for launching ‘National Mission for Clean Ganga’. This mission entails numerous projects to ensure the continuous and unpolluted flow of the Ganga. I grew up in Kanpur and have fond memories associated with river Ganga, which we regard as our mother. I am personally attached to the vision of a Clean Ganga. While attending an event last year, I was elated to witness both citizens and organisations pledging themselves to this cause. Making Ganga and our other rivers clean cannot be a mission of the Government alone. It has to be our collective endeavour and our collective promise. 


 


	As citizens we must contribute to this cause. For instance, we recently celebrated Ganesh Chaturthi and Navratras are a few days away. We need to ensure that the idols of deities immersed in the rivers are made of environment-friendly materials. It will help keep the rivers clean and ensure the safety of marine life. 


 

Ladies and Gentlemen,


	A few days from now, on 2nd October we will be celebrating the 150th birth anniversary of Mahatma Gandhi. It will also mark the official completion of the Swachha Bharat Abhiyan. Over the past five years, Swachha Bharat Abhiyan saw participation of people from all strata of society as well as organisations, who took responsibility and made it their personal mission. I was pleased to felicitate few such Swachhta crusaders earlier this month in this very hall, as part of the Swachh Mahaotsav 2019. Today, we have achieved almost full sanitation coverage and the country is on the verge of becoming open defecation free. We all need to show the same dedication and commitment towards Jal Shakti Abhiyan. 


 


	The Central and State Governments are already collaborating on water conservation activities in the most water stressed blocks and districts of the country. Focused interventions for rain water harvesting and water conservation, including the restoration and renovation of traditional water bodies are being planned. I also acknowledge the several NGOs working for water conservation across the country. And there are numerous techno-entrepreneurs who are developing and implementing innovative technology solutions for improving our water management. I am sure that the Jal Shakti Ministry would build partnerships and work with all stakeholders to make the pursuit of assured water availability to each citizen, a Jan Andolan. 


 


	While we seek solutions to address different water-related issues, we should not lose sight of our age-old methods of conserving water. A blending of our traditional knowledge with modern technologies and techniques can help us become a water secure nation. Let us pledge to achieve our water-related goals with robust cooperation among all our states, public and private organisations and our people.


 


	I wish all of you and the India Water Week - 2019 all success.


Thank You!

Jai Hind!

****

VRRK/SH

                
                
                (Release ID: 1585982)
                Visitor Counter : 662
                
                
                
                
                    
                
                
                    
                
                Read this release in: 
                
                        
                        
                            Urdu 
                    
                        ,
                    
                        
                        
                            Hindi 
                    
                
                
                
                    
                        
                    
                
                
                
                
                    
                        
                        
                    
                
            "
"
                        President of India Inaugurates 6th India Water Week-2019
                        
                        
                ","
                Posted On:
                24 SEP 2019 1:37PM by PIB Delhi
            ","
                
                    President's Secretariat
                
                
                
                
                
                    
                        President of India Inaugurates 6th India Water Week-2019
                        
                        
                
                
            
                Posted On:
                24 SEP 2019 1:37PM by PIB Delhi
            
                
                
                
                
                The President of India, Shri Ram Nath Kovind, inaugurated the 6th India Water Week-2019, today (September 24, 2019) at Vigyan Bhavan, New Delhi. The theme of the India Water Week-2019 is ‘Water Cooperation – Coping with 21st Century Challenges’ and it is being organised by the Department of Water Resources, River Development and Ganga Rejuvenation, the Ministry of Jal Shakti. 

Speaking on the occasion, the President said that cooperation between different stakeholders is critical, if we are to face the challenges concerning water effectively. Water issues are too multi-faceted and complex to be solved by only the government or just one nation. All nations and their water communities have to come together to help build a water sustainable future for all. 

The President said that we often talk of reducing our “carbon-footprint”.  It is time we talk to reducing our “water-footprint” as well. Our farmers, corporate leaders and government bodies need to actively consider the “water-footprint’’ of different crops and industries. We need to encourage agricultural and industrial practices that have the least water-footprint.   

The President said that managing and mapping ground-water resources is also an important aspect of water governance. The widespread use of boring machines has led to unregulated and excessive exploitation of ground-water. We have to value our ground-water and be responsible. We have to ensure that our precious rainwater does not get wasted. We need to store and capture our rainwater by utilizing our existing reservoirs, dams, other water bodies and by adopting water harvesting measures in our homes and neighbourhoods. 

The President said that while we seek solutions to address different water-related issues, we should not lose sight of our age-old methods of conserving water. A blending of our traditional knowledge with modern technologies and techniques can help us become a water secure nation. He called upon all stakeholders to pledge to achieve water-related goals with robust cooperation among all states, public and private organisations and people. He said that over the past five years, the Swachh Bharat Abhiyan saw participation of people from all strata of society as well as organisations, who took responsibility and made it their personal mission. We all need to show the same dedication and commitment towards Jal Shakti Abhiyan. 

The President said that the ‘National Mission for Clean Ganga’ entails numerous projects to ensure the continuous and unpolluted flow of the Ganga. He emphasized that making Ganga and our other rivers clean cannot be a mission of the Government alone. It has to be our collective endeavour and our collective promise. He said that as citizens we must contribute to this cause. For instance, we recently celebrated Ganesh Chaturthi and Navratras are a few days away. We need to ensure that the idols of deities immersed in the rivers are made of environment-friendly materials. It will help keep the rivers clean and ensure the safety of marine life.

 ****

VRRK/SH

                
                
                (Release ID: 1585981)
                Visitor Counter : 964
                
                
                
                
                    
                
                
                    
                
                Read this release in: 
                
                        
                        
                            Urdu 
                    
                        ,
                    
                        
                        
                            Hindi 
                    
                        ,
                    
                        
                        
                            Bengali 
                    
                
                
                
                    
                        
                    
                
                
                
                
                    
                        
                        
                    
                
            "
"
                        IAS Officers of 2017 Batch call on the President
                        
                        
                ","
                Posted On:
                23 SEP 2019 4:13PM by PIB Delhi
            ","
                
                    President's Secretariat
                
                
                
                
                
                    
                        IAS Officers of 2017 Batch call on the President
                        
                        
                
                
            
                Posted On:
                23 SEP 2019 4:13PM by PIB Delhi
            
                
                
                
                
                A group of 169 IAS officers of the 2017 batch, currently attached to  different Ministries and Departments of the Government of India as Assistant Secretaries, called on the President of India, Shri Ram Nath Kovind, today (September 23, 2019) at Rashtrapati Bhavan. 

Addressing the officers, the President said that while discharging their responsibilities, they would have to look at approaches that give optimum results. They must emphasize on teamwork and take everybody along and recognize everybody’s contribution. And while they do so, they must lead and be a role-model. They must also encourage greater people’s participation in socio-economic programmes, especially where they are dealing with mindsets and attitudes. He said that administration is no more about “us” and “them”, but only about “us” and “us together”. The gap between government and people must go. He said that officers’ approach should be people-sensitive and people-centric. We are duty bound to enhance “Ease of Living” for our people. 

The President said that IAS officers are at the cutting-edge of implementation and their role is paramount if India is to transform itself to a 5 trillion economy, to double farm-income, to achieve social justice and to make women equal stakeholders in our progress.  He said that the officers had worked hard and with sincerity to reach thus far in life.  They must continue with the same zeal and dedication to serve the people of India.  

Click here to see the President's speech

***

VRRK/VJ/SKS

                
                
                (Release ID: 1585880)
                Visitor Counter : 1613
                
                
                
                
                    
                
                
                    
                
                Read this release in: 
                
                        
                        
                            Urdu 
                    
                        ,
                    
                        
                        
                            Hindi 
                    
                
                
                
                    
                        
                    
                
                
                
                
                    
                        
                        
                    
                
            "
